time,value
2020-04-06 19:00:00,487
2020-04-06 18:00:00,191
2020-04-06 17:00:00,5
2020-04-06 16:00:00,1
2020-04-06 15:00:00,4
2020-04-06 14:00:00,1
2020-04-06 09:00:00,1
2020-04-06 05:00:00,1
2020-04-05 19:00:00,1
2020-04-05 18:00:00,1
2020-04-05 11:00:00,3796
2020-04-05 10:00:00,8469
2020-04-05 09:00:00,9024
2020-04-05 08:00:00,9879
2020-04-05 07:00:00,10699
2020-04-05 06:00:00,11853
2020-04-05 05:00:00,13129
2020-04-05 04:00:00,14359
2020-04-05 03:00:00,15052
2020-04-05 02:00:00,15974
2020-04-05 01:00:00,16040
2020-04-05 00:00:00,15464
2020-04-04 23:00:00,14403
2020-04-04 22:00:00,13719
2020-04-04 21:00:00,12499
2020-04-04 20:00:00,10360
2020-04-04 19:00:00,9660
2020-04-04 18:00:00,8703
2020-04-04 17:00:00,7980
2020-04-04 16:00:00,7033
2020-04-04 15:00:00,6310
2020-04-04 14:00:00,6169
2020-04-04 13:00:00,6168
2020-04-04 12:00:00,6800
2020-04-04 11:00:00,7714
2020-04-04 10:00:00,9063
2020-04-04 09:00:00,10472
2020-04-04 08:00:00,11999
2020-04-04 07:00:00,13284
2020-04-04 06:00:00,14547
2020-04-04 05:00:00,15322
2020-04-04 04:00:00,16279
2020-04-04 03:00:00,17083
2020-04-04 02:00:00,18397
2020-04-04 01:00:00,18920
2020-04-04 00:00:00,18842
2020-04-03 23:00:00,17672
2020-04-03 22:00:00,16310
2020-04-03 21:00:00,14913
2020-04-03 20:00:00,12403
2020-04-03 19:00:00,11047
2020-04-03 18:00:00,9805
2020-04-03 17:00:00,9243
2020-04-03 16:00:00,8598
2020-04-03 15:00:00,7735
2020-04-03 14:00:00,6535
2020-04-03 13:00:00,7104
2020-04-03 12:00:00,7374
2020-04-03 11:00:00,8698
2020-04-03 10:00:00,9949
2020-04-03 09:00:00,10997
2020-04-03 08:00:00,12041
2020-04-03 07:00:00,13720
2020-04-03 06:00:00,15391
2020-04-03 05:00:00,18051
2020-04-03 04:00:00,19535
2020-04-03 03:00:00,6097
2020-04-03 02:00:00,18285
2020-04-03 01:00:00,19223
2020-04-03 00:00:00,18921
2020-04-02 23:00:00,17963
2020-04-02 22:00:00,16544
2020-04-02 21:00:00,14599
2020-04-02 20:00:00,12420
2020-04-02 19:00:00,10925
2020-04-02 18:00:00,9841
2020-04-02 17:00:00,9154
2020-04-02 16:00:00,8157
2020-04-02 15:00:00,6983
2020-04-02 14:00:00,6485
2020-04-02 13:00:00,6934
2020-04-02 12:00:00,7819
2020-04-02 11:00:00,8550
2020-04-02 10:00:00,9736
2020-04-02 09:00:00,11167
2020-04-02 08:00:00,12006
2020-04-02 07:00:00,13264
2020-04-02 06:00:00,13005
2020-04-02 05:00:00,15940
2020-04-02 04:00:00,17685
2020-04-02 03:00:00,18500
2020-04-02 02:00:00,18864
2020-04-02 01:00:00,19717
2020-04-02 00:00:00,19847
2020-04-01 23:00:00,18722
2020-04-01 22:00:00,17363
2020-04-01 21:00:00,15365
2020-04-01 20:00:00,13066
2020-04-01 19:00:00,11217
2020-04-01 18:00:00,10343
2020-04-01 17:00:00,9716
2020-04-01 16:00:00,8626
2020-04-01 15:00:00,7474
2020-04-01 14:00:00,6776
2020-04-01 13:00:00,6895
2020-04-01 12:00:00,7745
2020-04-01 11:00:00,8847
2020-04-01 10:00:00,10198
2020-04-01 09:00:00,11462
2020-04-01 08:00:00,12099
2020-04-01 07:00:00,13727
2020-04-01 06:00:00,14980
2020-04-01 05:00:00,16046
2020-04-01 04:00:00,17228
2020-04-01 03:00:00,17982
2020-04-01 02:00:00,18734
2020-04-01 01:00:00,19835
2020-04-01 00:00:00,19284
2020-03-31 23:00:00,18776
2020-03-31 22:00:00,17225
2020-03-31 21:00:00,15077
2020-03-31 20:00:00,13006
2020-03-31 19:00:00,11675
2020-03-31 18:00:00,10543
2020-03-31 17:00:00,9465
2020-03-31 16:00:00,8785
2020-03-31 15:00:00,7738
2020-03-31 14:00:00,6713
2020-03-31 13:00:00,7157
2020-03-31 12:00:00,7614
2020-03-31 11:00:00,9013
2020-03-31 10:00:00,10736
2020-03-31 09:00:00,12113
2020-03-31 08:00:00,12985
2020-03-31 07:00:00,14183
2020-03-31 06:00:00,15722
2020-03-31 05:00:00,16603
2020-03-31 04:00:00,18015
2020-03-31 03:00:00,19409
2020-03-31 02:00:00,20180
2020-03-31 01:00:00,21568
2020-03-31 00:00:00,20779
2020-03-30 23:00:00,19745
2020-03-30 22:00:00,18157
2020-03-30 21:00:00,16064
2020-03-30 20:00:00,13675
2020-03-30 19:00:00,11834
2020-03-30 18:00:00,10784
2020-03-30 17:00:00,9982
2020-03-30 16:00:00,9242
2020-03-30 15:00:00,7893
2020-03-30 14:00:00,7056
2020-03-30 13:00:00,7244
2020-03-30 12:00:00,7698
2020-03-30 11:00:00,8865
2020-03-30 10:00:00,10148
2020-03-30 09:00:00,10843
2020-03-30 08:00:00,11630
2020-03-30 07:00:00,12189
2020-03-30 06:00:00,13032
2020-03-30 05:00:00,14467
2020-03-30 04:00:00,15707
2020-03-30 03:00:00,17324
2020-03-30 02:00:00,18019
2020-03-30 01:00:00,18009
2020-03-30 00:00:00,17682
2020-03-29 23:00:00,16754
2020-03-29 22:00:00,14699
2020-03-29 21:00:00,12808
2020-03-29 20:00:00,11211
2020-03-29 19:00:00,10310
2020-03-29 18:00:00,9238
2020-03-29 17:00:00,8385
2020-03-29 16:00:00,7412
2020-03-29 15:00:00,6544
2020-03-29 14:00:00,6625
2020-03-29 13:00:00,6663
2020-03-29 12:00:00,8022
2020-03-29 11:00:00,8463
2020-03-29 10:00:00,9714
2020-03-29 09:00:00,11132
2020-03-29 08:00:00,12153
2020-03-29 07:00:00,13514
2020-03-29 06:00:00,14677
2020-03-29 05:00:00,16348
2020-03-29 04:00:00,17559
2020-03-29 03:00:00,18337
2020-03-29 02:00:00,18844
2020-03-29 01:00:00,19253
2020-03-29 00:00:00,19538
2020-03-28 23:00:00,18435
2020-03-28 22:00:00,16749
2020-03-28 21:00:00,14719
2020-03-28 20:00:00,8847
2020-03-28 19:00:00,306
2020-03-28 18:00:00,204
2020-03-28 17:00:00,170
2020-03-28 16:00:00,139
2020-03-28 15:00:00,126
2020-03-28 14:00:00,123
2020-03-28 13:00:00,144
2020-03-28 12:00:00,148
2020-03-28 11:00:00,144
2020-03-28 10:00:00,154
2020-03-28 09:00:00,201
2020-03-28 08:00:00,165
2020-03-28 07:00:00,183
2020-03-28 06:00:00,233
2020-03-28 05:00:00,223
2020-03-28 04:00:00,241
2020-03-28 03:00:00,207
2020-03-28 02:00:00,227
2020-03-28 01:00:00,197
2020-03-28 00:00:00,161
2020-03-27 23:00:00,161
2020-03-27 22:00:00,136
2020-03-27 21:00:00,128
2020-03-27 20:00:00,108
2020-03-27 19:00:00,97
2020-03-27 18:00:00,94
2020-03-27 17:00:00,70
2020-03-27 16:00:00,65
2020-03-27 15:00:00,40
2020-03-27 14:00:00,41
2020-03-27 13:00:00,63
2020-03-27 12:00:00,56
2020-03-27 11:00:00,65
2020-03-27 10:00:00,85
2020-03-27 09:00:00,107
2020-03-27 08:00:00,87
2020-03-27 07:00:00,133
2020-03-27 06:00:00,130
2020-03-27 05:00:00,108
2020-03-27 04:00:00,148
2020-03-27 03:00:00,123
2020-03-27 02:00:00,104
2020-03-27 01:00:00,138
2020-03-27 00:00:00,122
2020-03-26 23:00:00,94
2020-03-26 22:00:00,88
2020-03-26 21:00:00,101
2020-03-26 20:00:00,51
2020-03-26 19:00:00,63
2020-03-26 18:00:00,50
2020-03-26 17:00:00,58
2020-03-26 16:00:00,49
2020-03-26 15:00:00,41
2020-03-26 14:00:00,102
2020-03-26 13:00:00,45
