time,value
2020-04-06 14:00:00,645
2020-04-06 13:00:00,14
2020-04-06 12:00:00,2
2020-04-06 11:00:00,3
2020-04-06 10:00:00,7647
2020-04-06 09:00:00,23548
2020-04-06 08:00:00,22975
2020-04-06 07:00:00,24064
2020-04-06 06:00:00,20821
2020-04-06 05:00:00,20187
2020-04-06 04:00:00,16729
2020-04-06 03:00:00,16461
2020-04-06 02:00:00,16694
2020-04-06 01:00:00,15057
2020-04-06 00:00:00,12404
2020-04-05 23:00:00,11989
2020-04-05 22:00:00,9745
2020-04-05 21:00:00,10556
2020-04-05 20:00:00,10171
2020-04-05 19:00:00,10225
2020-04-05 18:00:00,11763
2020-04-05 17:00:00,11576
2020-04-05 16:00:00,10908
2020-04-05 15:00:00,11709
2020-04-05 14:00:00,11762
2020-04-05 13:00:00,13963
2020-04-05 12:00:00,16381
2020-04-05 11:00:00,17242
2020-04-05 10:00:00,20048
2020-04-05 09:00:00,24136
2020-04-05 08:00:00,20606
2020-04-05 07:00:00,18709
2020-04-05 06:00:00,18727
2020-04-05 05:00:00,15481
2020-04-05 04:00:00,13794
2020-04-05 03:00:00,4869
2020-04-05 02:00:00,238
2020-04-05 01:00:00,137
2020-04-05 00:00:00,133
2020-04-04 23:00:00,94
2020-04-04 22:00:00,115
2020-04-04 21:00:00,97
2020-04-04 20:00:00,119
2020-04-04 19:00:00,120
2020-04-04 18:00:00,82
2020-04-04 17:00:00,109
2020-04-04 16:00:00,107
2020-04-04 15:00:00,91
2020-04-04 14:00:00,112
2020-04-04 13:00:00,109
2020-04-04 12:00:00,125
2020-04-04 11:00:00,130
2020-04-04 10:00:00,126
2020-04-04 09:00:00,137
2020-04-04 08:00:00,108
2020-04-04 07:00:00,92
2020-04-04 06:00:00,102
2020-04-04 05:00:00,52
2020-04-04 04:00:00,54
2020-04-04 03:00:00,74
2020-04-04 02:00:00,52
2020-04-04 01:00:00,45
2020-04-04 00:00:00,61
2020-04-03 23:00:00,24
2020-04-03 22:00:00,38
2020-04-03 21:00:00,39
2020-04-03 20:00:00,35
2020-04-03 19:00:00,28
2020-04-03 18:00:00,30
2020-04-03 17:00:00,40
2020-04-03 16:00:00,51
2020-04-03 15:00:00,32
2020-04-03 14:00:00,44
2020-04-03 13:00:00,56
2020-04-03 12:00:00,84
2020-04-03 11:00:00,94
2020-04-03 10:00:00,279
2020-04-03 09:00:00,1217
2020-04-03 08:00:00,57
2020-04-03 07:00:00,69
2020-04-03 06:00:00,52
2020-04-03 05:00:00,40
2020-04-03 04:00:00,20
2020-04-03 03:00:00,2060
2020-04-03 02:00:00,12411
2020-04-03 01:00:00,11581
2020-04-03 00:00:00,10872
2020-04-02 23:00:00,10091
2020-04-02 22:00:00,8887
2020-04-02 21:00:00,9094
2020-04-02 20:00:00,9113
2020-04-02 19:00:00,10223
2020-04-02 18:00:00,10747
2020-04-02 17:00:00,11447
2020-04-02 16:00:00,11906
2020-04-02 15:00:00,12997
2020-04-02 14:00:00,14540
2020-04-02 13:00:00,17184
2020-04-02 12:00:00,18624
2020-04-02 11:00:00,6209
2020-04-02 10:00:00,18248
2020-04-02 09:00:00,19602
2020-04-02 08:00:00,19876
2020-04-02 07:00:00,19311
2020-04-02 06:00:00,18310
2020-04-02 05:00:00,16468
2020-04-02 04:00:00,14385
2020-04-02 03:00:00,13066
2020-04-02 02:00:00,5916
2020-04-02 01:00:00,250
2020-04-02 00:00:00,172
