time,value
2020-04-06 09:00:00,29
2020-04-06 08:00:00,328
2020-04-06 07:00:00,301
2020-04-06 06:00:00,4
2020-04-06 05:00:00,3
2020-04-06 04:00:00,1
2020-04-06 03:00:00,1
2020-04-06 01:00:00,4
2020-04-06 00:00:00,1
2020-04-05 23:00:00,315
2020-04-05 22:00:00,395
2020-04-05 21:00:00,395
2020-04-05 20:00:00,341
2020-04-05 19:00:00,315
2020-04-05 18:00:00,324
2020-04-05 17:00:00,312
2020-04-05 16:00:00,254
2020-04-05 15:00:00,275
2020-04-05 14:00:00,245
2020-04-05 13:00:00,243
2020-04-05 12:00:00,276
2020-04-05 11:00:00,292
2020-04-05 10:00:00,276
2020-04-05 09:00:00,330
2020-04-05 08:00:00,348
2020-04-05 07:00:00,384
2020-04-05 06:00:00,381
2020-04-05 05:00:00,480
2020-04-05 04:00:00,523
2020-04-05 03:00:00,582
2020-04-05 02:00:00,532
2020-04-05 01:00:00,528
2020-04-05 00:00:00,545
2020-04-04 23:00:00,466
2020-04-04 22:00:00,393
2020-04-04 21:00:00,448
2020-04-04 20:00:00,347
2020-04-04 19:00:00,336
2020-04-04 18:00:00,265
2020-04-04 17:00:00,241
2020-04-04 16:00:00,223
2020-04-04 15:00:00,231
2020-04-04 14:00:00,215
2020-04-04 13:00:00,270
2020-04-04 12:00:00,281
2020-04-04 11:00:00,263
2020-04-04 10:00:00,297
2020-04-04 09:00:00,316
2020-04-04 08:00:00,320
2020-04-04 07:00:00,420
2020-04-04 06:00:00,415
2020-04-04 05:00:00,459
2020-04-04 04:00:00,531
2020-04-04 03:00:00,543
2020-04-04 02:00:00,539
2020-04-04 01:00:00,536
2020-04-04 00:00:00,579
2020-04-03 23:00:00,493
2020-04-03 22:00:00,471
2020-04-03 21:00:00,358
2020-04-03 20:00:00,342
2020-04-03 19:00:00,349
2020-04-03 18:00:00,278
2020-04-03 17:00:00,291
2020-04-03 16:00:00,300
2020-04-03 15:00:00,304
2020-04-03 14:00:00,263
2020-04-03 13:00:00,231
2020-04-03 12:00:00,278
2020-04-03 11:00:00,302
2020-04-03 10:00:00,305
2020-04-03 09:00:00,325
2020-04-03 08:00:00,405
2020-04-03 07:00:00,414
2020-04-03 06:00:00,479
2020-04-03 05:00:00,590
2020-04-03 04:00:00,527
2020-04-03 03:00:00,174
2020-04-03 02:00:00,570
2020-04-03 01:00:00,518
2020-04-03 00:00:00,506
2020-04-02 23:00:00,464
2020-04-02 22:00:00,426
2020-04-02 21:00:00,445
2020-04-02 20:00:00,338
2020-04-02 19:00:00,309
2020-04-02 18:00:00,250
2020-04-02 17:00:00,277
2020-04-02 16:00:00,256
2020-04-02 15:00:00,250
2020-04-02 14:00:00,243
2020-04-02 13:00:00,213
2020-04-02 12:00:00,247
2020-04-02 11:00:00,322
2020-04-02 10:00:00,289
2020-04-02 09:00:00,361
2020-04-02 08:00:00,353
2020-04-02 07:00:00,388
2020-04-02 06:00:00,377
2020-04-02 05:00:00,469
2020-04-02 04:00:00,517
2020-04-02 03:00:00,522
2020-04-02 02:00:00,585
2020-04-02 01:00:00,626
2020-04-02 00:00:00,517
2020-04-01 23:00:00,543
2020-04-01 22:00:00,436
2020-04-01 21:00:00,412
2020-04-01 20:00:00,353
2020-04-01 19:00:00,319
2020-04-01 18:00:00,280
2020-04-01 17:00:00,307
2020-04-01 16:00:00,356
2020-04-01 15:00:00,276
2020-04-01 14:00:00,226
2020-04-01 13:00:00,240
2020-04-01 12:00:00,291
2020-04-01 11:00:00,282
2020-04-01 10:00:00,283
2020-04-01 09:00:00,380
2020-04-01 08:00:00,391
2020-04-01 07:00:00,418
2020-04-01 06:00:00,435
2020-04-01 05:00:00,490
2020-04-01 04:00:00,567
2020-04-01 03:00:00,564
2020-04-01 02:00:00,508
2020-04-01 01:00:00,586
2020-04-01 00:00:00,506
2020-03-31 23:00:00,474
2020-03-31 22:00:00,426
2020-03-31 21:00:00,397
2020-03-31 20:00:00,335
2020-03-31 19:00:00,302
2020-03-31 18:00:00,253
2020-03-31 17:00:00,294
2020-03-31 16:00:00,325
2020-03-31 15:00:00,263
2020-03-31 14:00:00,247
2020-03-31 13:00:00,254
2020-03-31 12:00:00,257
2020-03-31 11:00:00,283
2020-03-31 10:00:00,348
2020-03-31 09:00:00,357
2020-03-31 08:00:00,389
2020-03-31 07:00:00,394
2020-03-31 06:00:00,470
2020-03-31 05:00:00,499
2020-03-31 04:00:00,527
2020-03-31 03:00:00,513
2020-03-31 02:00:00,541
2020-03-31 01:00:00,589
2020-03-31 00:00:00,542
2020-03-30 23:00:00,536
2020-03-30 22:00:00,472
2020-03-30 21:00:00,435
2020-03-30 20:00:00,348
2020-03-30 19:00:00,281
2020-03-30 18:00:00,262
2020-03-30 17:00:00,292
2020-03-30 16:00:00,273
2020-03-30 15:00:00,236
2020-03-30 14:00:00,221
2020-03-30 13:00:00,281
2020-03-30 12:00:00,321
2020-03-30 11:00:00,263
2020-03-30 10:00:00,314
2020-03-30 09:00:00,307
2020-03-30 08:00:00,343
2020-03-30 07:00:00,355
2020-03-30 06:00:00,433
2020-03-30 05:00:00,423
2020-03-30 04:00:00,498
2020-03-30 03:00:00,510
2020-03-30 02:00:00,508
2020-03-30 01:00:00,480
2020-03-30 00:00:00,438
2020-03-29 23:00:00,452
2020-03-29 22:00:00,373
2020-03-29 21:00:00,344
2020-03-29 20:00:00,313
2020-03-29 19:00:00,274
2020-03-29 18:00:00,260
2020-03-29 17:00:00,245
2020-03-29 16:00:00,216
2020-03-29 15:00:00,188
2020-03-29 14:00:00,224
2020-03-29 13:00:00,212
2020-03-29 12:00:00,244
2020-03-29 11:00:00,287
2020-03-29 10:00:00,291
2020-03-29 09:00:00,293
2020-03-29 08:00:00,381
2020-03-29 07:00:00,383
2020-03-29 06:00:00,430
2020-03-29 05:00:00,497
2020-03-29 04:00:00,454
2020-03-29 03:00:00,521
2020-03-29 02:00:00,497
2020-03-29 01:00:00,498
2020-03-29 00:00:00,409
2020-03-28 23:00:00,428
2020-03-28 22:00:00,381
2020-03-28 21:00:00,357
2020-03-28 20:00:00,283
2020-03-28 19:00:00,266
2020-03-28 18:00:00,241
2020-03-28 17:00:00,266
2020-03-28 16:00:00,245
2020-03-28 15:00:00,199
2020-03-28 14:00:00,213
2020-03-28 13:00:00,193
2020-03-28 12:00:00,321
2020-03-28 11:00:00,267
2020-03-28 10:00:00,287
2020-03-28 09:00:00,280
2020-03-28 08:00:00,354
2020-03-28 07:00:00,438
2020-03-28 06:00:00,511
2020-03-28 05:00:00,450
2020-03-28 04:00:00,488
2020-03-28 03:00:00,515
2020-03-28 02:00:00,467
2020-03-28 01:00:00,497
2020-03-28 00:00:00,452
2020-03-27 23:00:00,442
2020-03-27 22:00:00,421
2020-03-27 21:00:00,354
2020-03-27 20:00:00,286
2020-03-27 19:00:00,310
2020-03-27 18:00:00,243
2020-03-27 17:00:00,274
2020-03-27 16:00:00,228
2020-03-27 15:00:00,208
2020-03-27 14:00:00,208
2020-03-27 13:00:00,206
2020-03-27 12:00:00,245
2020-03-27 11:00:00,296
2020-03-27 10:00:00,306
2020-03-27 09:00:00,348
2020-03-27 08:00:00,348
2020-03-27 07:00:00,444
2020-03-27 06:00:00,466
2020-03-27 05:00:00,482
2020-03-27 04:00:00,485
2020-03-27 03:00:00,524
2020-03-27 02:00:00,495
2020-03-27 01:00:00,495
2020-03-27 00:00:00,432
2020-03-26 23:00:00,463
