time,value
4/6/20 13:00,728
4/6/20 12:00,730
4/6/20 11:00,805
4/6/20 10:00,860
4/6/20 09:00,865
4/6/20 08:00,799
4/6/20 07:00,765
4/6/20 06:00,611
4/6/20 05:00,620
4/6/20 04:00,535
4/6/20 03:00,457
4/6/20 02:00,427
4/6/20 01:00,300
4/6/20 00:00,10
4/5/20 23:00,7
4/5/20 22:00,6
4/5/20 21:00,6
4/5/20 20:00,112
4/5/20 19:00,689
4/5/20 18:00,710
4/5/20 17:00,761
4/5/20 16:00,721
4/5/20 15:00,686
4/5/20 14:00,709
4/5/20 13:00,829
4/5/20 12:00,785
4/5/20 11:00,859
4/5/20 10:00,823
4/5/20 09:00,792
4/5/20 08:00,777
4/5/20 07:00,703
4/5/20 06:00,577
4/5/20 05:00,548
4/5/20 04:00,483
4/5/20 03:00,360
4/5/20 02:00,479
4/5/20 01:00,355
4/5/20 00:00,367
4/4/20 23:00,418
4/4/20 22:00,410
4/4/20 21:00,477
4/4/20 20:00,622
4/4/20 19:00,543
4/4/20 18:00,675
4/4/20 17:00,721
4/4/20 16:00,683
4/4/20 15:00,741
4/4/20 14:00,751
4/4/20 13:00,795
4/4/20 12:00,879
4/4/20 11:00,760
4/4/20 10:00,798
4/4/20 09:00,818
4/4/20 08:00,751
4/4/20 07:00,730
4/4/20 06:00,617
4/4/20 05:00,524
4/4/20 04:00,441
4/4/20 03:00,461
4/4/20 02:00,381
4/4/20 01:00,430
4/4/20 00:00,477
4/3/20 23:00,427
4/3/20 22:00,422
4/3/20 21:00,543
4/3/20 20:00,526
4/3/20 19:00,542
4/3/20 18:00,601
4/3/20 17:00,608
4/3/20 16:00,575
4/3/20 15:00,629
4/3/20 14:00,604
4/3/20 13:00,644
4/3/20 12:00,660
4/3/20 11:00,599
4/3/20 10:00,688
4/3/20 09:00,670
4/3/20 08:00,748
4/3/20 07:00,583
4/3/20 06:00,582
4/3/20 05:00,535
4/3/20 04:00,485
4/3/20 03:00,456
4/3/20 02:00,341
4/3/20 01:00,403
4/3/20 00:00,400
4/2/20 23:00,470
4/2/20 22:00,366
4/2/20 21:00,374
4/2/20 20:00,449
4/2/20 19:00,523
4/2/20 18:00,438
4/2/20 17:00,429
4/2/20 16:00,463
4/2/20 15:00,498
4/2/20 14:00,489
4/2/20 13:00,574
4/2/20 12:00,514
4/2/20 11:00,169
4/2/20 10:00,497
4/2/20 09:00,629
4/2/20 08:00,614
4/2/20 07:00,610
4/2/20 06:00,595
4/2/20 05:00,445
4/2/20 04:00,427
4/2/20 03:00,366
4/2/20 02:00,370
4/2/20 01:00,449
4/2/20 00:00,459
4/1/20 23:00,442
4/1/20 22:00,341
4/1/20 21:00,371
4/1/20 20:00,354
4/1/20 19:00,387
4/1/20 18:00,407
4/1/20 17:00,365
4/1/20 16:00,362
4/1/20 15:00,338
4/1/20 14:00,344
4/1/20 13:00,387
4/1/20 12:00,482
4/1/20 11:00,500
4/1/20 10:00,487
4/1/20 09:00,571
4/1/20 08:00,536
4/1/20 07:00,531
4/1/20 06:00,501
4/1/20 05:00,415
4/1/20 04:00,414
4/1/20 03:00,336
4/1/20 02:00,434
4/1/20 01:00,392
4/1/20 00:00,318
3/31/20 23:00,315
3/31/20 22:00,325
3/31/20 21:00,293
3/31/20 20:00,332
3/31/20 19:00,319
3/31/20 18:00,397
3/31/20 17:00,376
3/31/20 16:00,305
3/31/20 15:00,349
3/31/20 14:00,364
3/31/20 13:00,356
3/31/20 12:00,427
3/31/20 11:00,463
3/31/20 10:00,460
3/31/20 09:00,513
3/31/20 08:00,469
3/31/20 07:00,453
3/31/20 06:00,469
3/31/20 05:00,462
3/31/20 04:00,368
3/31/20 03:00,394
3/31/20 02:00,333
3/31/20 01:00,363
3/31/20 00:00,371
3/30/20 23:00,240
3/30/20 22:00,287
3/30/20 21:00,325
3/30/20 20:00,382
3/30/20 19:00,355
3/30/20 18:00,341
3/30/20 17:00,354
3/30/20 16:00,346
3/30/20 15:00,286
3/30/20 14:00,332
3/30/20 13:00,350
3/30/20 12:00,363
3/30/20 11:00,451
3/30/20 10:00,456
3/30/20 09:00,460
3/30/20 08:00,483
3/30/20 07:00,458
3/30/20 06:00,423
3/30/20 05:00,409
3/30/20 04:00,319
3/30/20 03:00,358
3/30/20 02:00,305
3/30/20 01:00,338
3/30/20 00:00,368
3/29/20 23:00,310
3/29/20 22:00,277
3/29/20 21:00,337
3/29/20 20:00,368
3/29/20 19:00,361
3/29/20 18:00,341
3/29/20 17:00,309
3/29/20 16:00,330
3/29/20 15:00,317
3/29/20 14:00,302
3/29/20 13:00,350
3/29/20 12:00,400
3/29/20 11:00,407
3/29/20 10:00,416
3/29/20 09:00,456
3/29/20 08:00,457
3/29/20 07:00,435
3/29/20 06:00,416
3/29/20 05:00,334
3/29/20 04:00,374
3/29/20 03:00,315
3/29/20 02:00,334
3/29/20 01:00,272
3/29/20 00:00,298
3/28/20 23:00,287
3/28/20 22:00,248
3/28/20 21:00,299
3/28/20 20:00,359
3/28/20 19:00,305
3/28/20 18:00,322
3/28/20 17:00,298
3/28/20 16:00,338
3/28/20 15:00,326
3/28/20 14:00,306
3/28/20 13:00,392
3/28/20 12:00,404
3/28/20 11:00,433
3/28/20 10:00,434
3/28/20 09:00,440
3/28/20 08:00,444
3/28/20 07:00,464
3/28/20 06:00,397
3/28/20 05:00,421
3/28/20 04:00,334
3/28/20 03:00,351
3/28/20 02:00,283
3/28/20 01:00,283
3/28/20 00:00,282
3/27/20 23:00,253
3/27/20 22:00,273
3/27/20 21:00,303
3/27/20 20:00,346
3/27/20 19:00,330
3/27/20 18:00,410
3/27/20 17:00,274
3/27/20 16:00,363
3/27/20 15:00,306
3/27/20 14:00,307
3/27/20 13:00,356
3/27/20 12:00,351
3/27/20 11:00,459
3/27/20 10:00,441
3/27/20 09:00,436
3/27/20 08:00,416
3/27/20 07:00,484
3/27/20 06:00,388
3/27/20 05:00,374
3/27/20 04:00,361
3/27/20 03:00,370
3/27/20 02:00,410
3/27/20 01:00,346
3/27/20 00:00,360
3/26/20 23:00,326
3/26/20 22:00,249
3/26/20 21:00,362
3/26/20 20:00,376
3/26/20 19:00,374
3/26/20 18:00,424
3/26/20 17:00,326
3/26/20 16:00,357
3/26/20 15:00,340
3/26/20 14:00,337
3/26/20 13:00,399
3/26/20 12:00,404
3/26/20 11:00,407
3/26/20 10:00,438
3/26/20 09:00,460
3/26/20 08:00,479
3/26/20 07:00,544
3/26/20 06:00,464
3/26/20 05:00,381
3/26/20 04:00,515
3/26/20 03:00,367
3/26/20 02:00,365
3/26/20 01:00,455
3/26/20 00:00,431
3/25/20 23:00,351
3/25/20 22:00,259
3/25/20 21:00,323
3/25/20 20:00,354
3/25/20 19:00,403
3/25/20 18:00,393
3/25/20 17:00,336
3/25/20 16:00,352
3/25/20 15:00,357
3/25/20 14:00,348
3/25/20 13:00,373
3/25/20 12:00,373
3/25/20 11:00,389
3/25/20 10:00,418
3/25/20 09:00,404
3/25/20 08:00,453
3/25/20 07:00,445
3/25/20 06:00,399
3/25/20 05:00,408
3/25/20 04:00,364
3/25/20 03:00,328
3/25/20 02:00,363
3/25/20 01:00,387
3/25/20 00:00,336
3/24/20 23:00,321
3/24/20 22:00,287
3/24/20 21:00,301
3/24/20 20:00,415
3/24/20 19:00,403
3/24/20 18:00,393
3/24/20 17:00,297
3/24/20 16:00,309
3/24/20 15:00,353
3/24/20 14:00,322
3/24/20 13:00,355
3/24/20 12:00,366
3/24/20 11:00,371
3/24/20 10:00,466
3/24/20 09:00,395
3/24/20 08:00,405
3/24/20 07:00,409
3/24/20 06:00,400
3/24/20 05:00,348
3/24/20 04:00,304
3/24/20 03:00,293
3/24/20 02:00,342
3/24/20 01:00,365
3/24/20 00:00,345
3/23/20 23:00,257
3/23/20 22:00,249
3/23/20 21:00,302
3/23/20 20:00,345
3/23/20 19:00,377
3/23/20 18:00,364
3/23/20 17:00,305
3/23/20 16:00,279
3/23/20 15:00,275
3/23/20 14:00,319
3/23/20 13:00,302
3/23/20 12:00,326
3/23/20 11:00,394
3/23/20 10:00,435
3/23/20 09:00,416
3/23/20 08:00,445
3/23/20 07:00,428
3/23/20 06:00,355
3/23/20 05:00,405
3/23/20 04:00,353
3/23/20 03:00,307
3/23/20 02:00,251
3/23/20 01:00,294
3/23/20 00:00,282
