time,value
2020-04-05 11:00:00,367
2020-04-05 10:00:00,752
2020-04-05 09:00:00,834
2020-04-05 08:00:00,966
2020-04-05 07:00:00,1030
2020-04-05 06:00:00,1124
2020-04-05 05:00:00,1236
2020-04-05 04:00:00,1443
2020-04-05 03:00:00,1563
2020-04-05 02:00:00,1562
2020-04-05 01:00:00,1576
2020-04-05 00:00:00,1523
2020-04-04 23:00:00,1391
2020-04-04 22:00:00,1243
2020-04-04 21:00:00,1133
2020-04-04 20:00:00,935
2020-04-04 19:00:00,980
2020-04-04 18:00:00,861
2020-04-04 17:00:00,820
2020-04-04 16:00:00,682
2020-04-04 15:00:00,609
2020-04-04 14:00:00,534
2020-04-04 13:00:00,474
2020-04-04 12:00:00,629
2020-04-04 11:00:00,674
2020-04-04 10:00:00,816
2020-04-04 09:00:00,868
2020-04-04 08:00:00,1002
2020-04-04 07:00:00,1193
2020-04-04 06:00:00,1307
2020-04-04 05:00:00,1460
2020-04-04 04:00:00,1599
2020-04-04 03:00:00,1772
2020-04-04 02:00:00,1741
2020-04-04 01:00:00,1890
2020-04-04 00:00:00,1815
2020-04-03 23:00:00,1625
2020-04-03 22:00:00,1510
2020-04-03 21:00:00,1374
2020-04-03 20:00:00,1099
2020-04-03 19:00:00,987
2020-04-03 18:00:00,952
2020-04-03 17:00:00,929
2020-04-03 16:00:00,868
2020-04-03 15:00:00,732
2020-04-03 14:00:00,616
2020-04-03 13:00:00,591
2020-04-03 12:00:00,627
2020-04-03 11:00:00,785
2020-04-03 10:00:00,974
2020-04-03 09:00:00,1015
2020-04-03 08:00:00,1250
2020-04-03 07:00:00,1307
2020-04-03 06:00:00,1526
2020-04-03 05:00:00,1875
2020-04-03 04:00:00,2019
2020-04-03 03:00:00,710
2020-04-03 02:00:00,1880
2020-04-03 01:00:00,1933
2020-04-03 00:00:00,1955
2020-04-02 23:00:00,1701
2020-04-02 22:00:00,1584
2020-04-02 21:00:00,1437
2020-04-02 20:00:00,1129
2020-04-02 19:00:00,1025
2020-04-02 18:00:00,911
2020-04-02 17:00:00,921
2020-04-02 16:00:00,840
2020-04-02 15:00:00,696
2020-04-02 14:00:00,612
2020-04-02 13:00:00,582
2020-04-02 12:00:00,663
2020-04-02 11:00:00,782
2020-04-02 10:00:00,963
2020-04-02 09:00:00,1107
2020-04-02 08:00:00,1125
2020-04-02 07:00:00,1243
2020-04-02 06:00:00,1254
2020-04-02 05:00:00,1568
2020-04-02 04:00:00,1751
2020-04-02 03:00:00,1783
2020-04-02 02:00:00,1956
2020-04-02 01:00:00,1990
2020-04-02 00:00:00,1887
2020-04-01 23:00:00,1754
2020-04-01 22:00:00,1699
2020-04-01 21:00:00,1462
2020-04-01 20:00:00,1197
2020-04-01 19:00:00,1064
2020-04-01 18:00:00,946
2020-04-01 17:00:00,975
2020-04-01 16:00:00,892
2020-04-01 15:00:00,693
2020-04-01 14:00:00,631
2020-04-01 13:00:00,584
2020-04-01 12:00:00,675
2020-04-01 11:00:00,806
2020-04-01 10:00:00,974
2020-04-01 09:00:00,1052
2020-04-01 08:00:00,1110
2020-04-01 07:00:00,1225
2020-04-01 06:00:00,1430
2020-04-01 05:00:00,1566
2020-04-01 04:00:00,1701
2020-04-01 03:00:00,1730
2020-04-01 02:00:00,1778
2020-04-01 01:00:00,1877
2020-04-01 00:00:00,1739
2020-03-31 23:00:00,1711
2020-03-31 22:00:00,1516
2020-03-31 21:00:00,1435
2020-03-31 20:00:00,1144
2020-03-31 19:00:00,953
2020-03-31 18:00:00,914
2020-03-31 17:00:00,885
2020-03-31 16:00:00,810
2020-03-31 15:00:00,696
2020-03-31 14:00:00,580
2020-03-31 13:00:00,589
2020-03-31 12:00:00,658
2020-03-31 11:00:00,836
2020-03-31 10:00:00,984
2020-03-31 09:00:00,988
2020-03-31 08:00:00,1101
2020-03-31 07:00:00,1221
2020-03-31 06:00:00,1310
2020-03-31 05:00:00,1615
2020-03-31 04:00:00,1715
2020-03-31 03:00:00,1798
2020-03-31 02:00:00,1882
2020-03-31 01:00:00,1855
2020-03-31 00:00:00,1854
2020-03-30 23:00:00,1768
2020-03-30 22:00:00,1487
2020-03-30 21:00:00,1337
2020-03-30 20:00:00,1146
2020-03-30 19:00:00,953
2020-03-30 18:00:00,977
2020-03-30 17:00:00,942
2020-03-30 16:00:00,828
2020-03-30 15:00:00,672
2020-03-30 14:00:00,613
2020-03-30 13:00:00,634
2020-03-30 12:00:00,661
2020-03-30 11:00:00,676
2020-03-30 10:00:00,789
2020-03-30 09:00:00,846
2020-03-30 08:00:00,889
2020-03-30 07:00:00,980
2020-03-30 06:00:00,1174
2020-03-30 05:00:00,1418
2020-03-30 04:00:00,1457
2020-03-30 03:00:00,1597
2020-03-30 02:00:00,1529
2020-03-30 01:00:00,1598
2020-03-30 00:00:00,1439
2020-03-29 23:00:00,1342
2020-03-29 22:00:00,1193
2020-03-29 21:00:00,1096
2020-03-29 20:00:00,896
2020-03-29 19:00:00,854
2020-03-29 18:00:00,892
2020-03-29 17:00:00,766
2020-03-29 16:00:00,565
2020-03-29 15:00:00,537
2020-03-29 14:00:00,460
2020-03-29 13:00:00,500
2020-03-29 12:00:00,641
2020-03-29 11:00:00,756
2020-03-29 10:00:00,783
2020-03-29 09:00:00,780
2020-03-29 08:00:00,867
2020-03-29 07:00:00,959
2020-03-29 06:00:00,1143
2020-03-29 05:00:00,1224
2020-03-29 04:00:00,1354
2020-03-29 03:00:00,1472
2020-03-29 02:00:00,1420
2020-03-29 01:00:00,1516
2020-03-29 00:00:00,1424
2020-03-28 23:00:00,1374
2020-03-28 22:00:00,1232
2020-03-28 21:00:00,1019
2020-03-28 20:00:00,900
2020-03-28 19:00:00,850
2020-03-28 18:00:00,784
2020-03-28 17:00:00,681
