time,value
4/6/20 13:00,50
4/6/20 12:00,49
4/6/20 11:00,51
4/6/20 10:00,59
4/6/20 09:00,91
4/6/20 08:00,53
4/6/20 07:00,50
4/6/20 06:00,42
4/6/20 05:00,38
4/6/20 04:00,33
4/6/20 03:00,39
4/6/20 02:00,41
4/6/20 01:00,47
4/6/20 00:00,45
4/5/20 23:00,28
4/5/20 22:00,33
4/5/20 21:00,22
4/5/20 20:00,27
4/5/20 19:00,29
4/5/20 18:00,45
4/5/20 17:00,50
4/5/20 16:00,71
4/5/20 15:00,34
4/5/20 14:00,49
4/5/20 13:00,41
4/5/20 12:00,65
4/5/20 11:00,47
4/5/20 10:00,49
4/5/20 09:00,69
4/5/20 08:00,64
4/5/20 07:00,64
4/5/20 06:00,64
4/5/20 05:00,52
4/5/20 04:00,37
4/5/20 03:00,34
4/5/20 02:00,40
4/5/20 01:00,44
4/5/20 00:00,32
4/4/20 23:00,31
4/4/20 22:00,26
4/4/20 21:00,24
4/4/20 20:00,28
4/4/20 19:00,28
4/4/20 18:00,34
4/4/20 17:00,24
4/4/20 16:00,46
4/4/20 15:00,32
4/4/20 14:00,43
4/4/20 13:00,46
4/4/20 12:00,43
4/4/20 11:00,56
4/4/20 10:00,55
4/4/20 09:00,59
4/4/20 08:00,53
4/4/20 07:00,58
4/4/20 06:00,48
4/4/20 05:00,47
4/4/20 04:00,41
4/4/20 03:00,35
4/4/20 02:00,43
4/4/20 01:00,36
4/4/20 00:00,43
4/3/20 23:00,38
4/3/20 22:00,29
4/3/20 21:00,34
4/3/20 20:00,25
4/3/20 19:00,26
4/3/20 18:00,27
4/3/20 17:00,31
4/3/20 16:00,23
4/3/20 15:00,39
4/3/20 14:00,40
4/3/20 13:00,45
4/3/20 12:00,51
4/3/20 11:00,45
4/3/20 10:00,62
4/3/20 09:00,59
4/3/20 08:00,68
4/3/20 07:00,62
4/3/20 06:00,67
4/3/20 05:00,51
4/3/20 04:00,54
4/3/20 03:00,43
4/3/20 02:00,53
4/3/20 01:00,42
4/3/20 00:00,45
4/2/20 23:00,25
4/2/20 22:00,31
4/2/20 21:00,34
4/2/20 20:00,25
4/2/20 19:00,19
4/2/20 18:00,23
4/2/20 17:00,30
4/2/20 16:00,29
4/2/20 15:00,33
4/2/20 14:00,54
4/2/20 13:00,57
4/2/20 12:00,63
4/2/20 11:00,18
4/2/20 10:00,46
4/2/20 09:00,68
4/2/20 08:00,49
4/2/20 07:00,56
4/2/20 06:00,54
4/2/20 05:00,68
4/2/20 04:00,42
4/2/20 03:00,36
4/2/20 02:00,35
4/2/20 01:00,43
4/2/20 00:00,38
4/1/20 23:00,46
4/1/20 22:00,19
4/1/20 21:00,33
4/1/20 20:00,32
4/1/20 19:00,50
4/1/20 18:00,32
4/1/20 17:00,25
4/1/20 16:00,33
4/1/20 15:00,38
4/1/20 14:00,32
4/1/20 13:00,48
4/1/20 12:00,54
4/1/20 11:00,53
4/1/20 10:00,57
4/1/20 09:00,49
4/1/20 08:00,61
4/1/20 07:00,57
4/1/20 06:00,67
4/1/20 05:00,52
4/1/20 04:00,58
4/1/20 03:00,64
4/1/20 02:00,58
4/1/20 01:00,44
4/1/20 00:00,47
3/31/20 23:00,56
3/31/20 22:00,31
3/31/20 21:00,26
3/31/20 20:00,25
3/31/20 19:00,38
3/31/20 18:00,24
3/31/20 17:00,27
3/31/20 16:00,27
3/31/20 15:00,24
3/31/20 14:00,41
3/31/20 13:00,40
3/31/20 12:00,45
3/31/20 11:00,51
3/31/20 10:00,64
3/31/20 09:00,68
3/31/20 08:00,64
3/31/20 07:00,55
3/31/20 06:00,44
3/31/20 05:00,39
3/31/20 04:00,48
3/31/20 03:00,47
3/31/20 02:00,42
3/31/20 01:00,47
3/31/20 00:00,49
3/30/20 23:00,29
3/30/20 22:00,24
3/30/20 21:00,18
3/30/20 20:00,22
3/30/20 19:00,16
3/30/20 18:00,37
3/30/20 17:00,51
3/30/20 16:00,38
3/30/20 15:00,35
3/30/20 14:00,55
3/30/20 13:00,57
3/30/20 12:00,53
3/30/20 11:00,58
3/30/20 10:00,54
3/30/20 09:00,47
3/30/20 08:00,53
3/30/20 07:00,74
3/30/20 06:00,74
3/30/20 05:00,58
3/30/20 04:00,47
3/30/20 03:00,40
3/30/20 02:00,40
3/30/20 01:00,52
3/30/20 00:00,36
3/29/20 23:00,39
3/29/20 22:00,35
3/29/20 21:00,18
3/29/20 20:00,32
3/29/20 19:00,37
3/29/20 18:00,49
3/29/20 17:00,21
3/29/20 16:00,32
3/29/20 15:00,34
3/29/20 14:00,44
3/29/20 13:00,39
3/29/20 12:00,63
3/29/20 11:00,59
3/29/20 10:00,72
3/29/20 09:00,62
3/29/20 08:00,54
3/29/20 07:00,55
3/29/20 06:00,68
3/29/20 05:00,52
3/29/20 04:00,53
3/29/20 03:00,43
3/29/20 02:00,51
3/29/20 01:00,36
3/29/20 00:00,41
3/28/20 23:00,40
3/28/20 22:00,24
3/28/20 21:00,39
3/28/20 20:00,37
3/28/20 19:00,26
3/28/20 18:00,66
3/28/20 17:00,82
3/28/20 16:00,24
3/28/20 15:00,44
3/28/20 14:00,37
3/28/20 13:00,55
3/28/20 12:00,55
3/28/20 11:00,59
3/28/20 10:00,52
3/28/20 09:00,61
3/28/20 08:00,65
3/28/20 07:00,71
3/28/20 06:00,58
3/28/20 05:00,54
3/28/20 04:00,57
3/28/20 03:00,51
3/28/20 02:00,38
3/28/20 01:00,41
3/28/20 00:00,44
3/27/20 23:00,40
3/27/20 22:00,33
3/27/20 21:00,28
3/27/20 20:00,22
3/27/20 19:00,25
3/27/20 18:00,23
3/27/20 17:00,26
3/27/20 16:00,34
3/27/20 15:00,28
3/27/20 14:00,28
3/27/20 13:00,44
3/27/20 12:00,57
3/27/20 11:00,63
3/27/20 10:00,63
3/27/20 09:00,65
3/27/20 08:00,51
3/27/20 07:00,52
3/27/20 06:00,52
3/27/20 05:00,60
3/27/20 04:00,41
3/27/20 03:00,40
3/27/20 02:00,39
3/27/20 01:00,50
3/27/20 00:00,40
3/26/20 23:00,37
3/26/20 22:00,35
3/26/20 21:00,31
3/26/20 20:00,25
3/26/20 19:00,25
3/26/20 18:00,30
3/26/20 17:00,38
3/26/20 16:00,28
3/26/20 15:00,39
3/26/20 14:00,54
3/26/20 13:00,44
3/26/20 12:00,51
3/26/20 11:00,40
3/26/20 10:00,55
3/26/20 09:00,43
3/26/20 08:00,55
3/26/20 07:00,41
3/26/20 06:00,57
3/26/20 05:00,48
3/26/20 04:00,47
3/26/20 03:00,39
3/26/20 02:00,39
3/26/20 01:00,46
3/26/20 00:00,38
3/25/20 23:00,26
3/25/20 22:00,27
3/25/20 21:00,24
3/25/20 20:00,21
3/25/20 19:00,40
3/25/20 18:00,29
3/25/20 17:00,59
3/25/20 16:00,37
3/25/20 15:00,40
3/25/20 14:00,48
3/25/20 13:00,52
3/25/20 12:00,47
3/25/20 11:00,62
3/25/20 10:00,47
3/25/20 09:00,56
3/25/20 08:00,49
3/25/20 07:00,62
3/25/20 06:00,66
3/25/20 05:00,48
3/25/20 04:00,50
3/25/20 03:00,44
3/25/20 02:00,52
3/25/20 01:00,55
3/25/20 00:00,41
3/24/20 23:00,31
3/24/20 22:00,35
3/24/20 21:00,25
3/24/20 20:00,25
3/24/20 19:00,32
3/24/20 18:00,27
3/24/20 17:00,30
3/24/20 16:00,23
3/24/20 15:00,26
3/24/20 14:00,34
3/24/20 13:00,55
3/24/20 12:00,45
3/24/20 11:00,60
3/24/20 10:00,60
3/24/20 09:00,70
3/24/20 08:00,54
3/24/20 07:00,56
3/24/20 06:00,57
3/24/20 05:00,42
3/24/20 04:00,43
3/24/20 03:00,43
3/24/20 02:00,34
3/24/20 01:00,35
3/24/20 00:00,32
3/23/20 23:00,26
3/23/20 22:00,21
3/23/20 21:00,13
3/23/20 20:00,14
3/23/20 19:00,26
3/23/20 18:00,22
3/23/20 17:00,27
3/23/20 16:00,43
3/23/20 15:00,42
3/23/20 14:00,82
3/23/20 13:00,51
3/23/20 12:00,44
3/23/20 11:00,56
3/23/20 10:00,41
3/23/20 09:00,54
3/23/20 08:00,46
3/23/20 07:00,68
3/23/20 06:00,52
3/23/20 05:00,34
3/23/20 04:00,38
3/23/20 03:00,29
3/23/20 02:00,31
3/23/20 01:00,38
3/23/20 00:00,40
3/22/20 23:00,27
3/22/20 22:00,26
3/22/20 21:00,20
3/22/20 20:00,20
3/22/20 19:00,21
3/22/20 18:00,16
3/22/20 17:00,36
3/22/20 16:00,27
3/22/20 15:00,34
3/22/20 14:00,25
3/22/20 13:00,45
3/22/20 12:00,45
3/22/20 11:00,49
3/22/20 10:00,49
3/22/20 09:00,36
3/22/20 08:00,34
3/22/20 07:00,35
3/22/20 06:00,47
3/22/20 05:00,28
3/22/20 04:00,34
3/22/20 03:00,35
3/22/20 02:00,34
3/22/20 01:00,35
3/22/20 00:00,25
3/21/20 23:00,18
3/21/20 22:00,26
3/21/20 21:00,17
3/21/20 20:00,19
3/21/20 19:00,17
3/21/20 18:00,20
3/21/20 17:00,25
3/21/20 16:00,17
3/21/20 15:00,24
3/21/20 14:00,31
3/21/20 13:00,33
3/21/20 12:00,42
3/21/20 11:00,40
3/21/20 10:00,42
3/21/20 09:00,42
3/21/20 08:00,49
3/21/20 07:00,30
3/21/20 06:00,35
3/21/20 05:00,34
3/21/20 04:00,28
3/21/20 03:00,23
3/21/20 02:00,17
3/21/20 01:00,30
3/21/20 00:00,30
3/20/20 23:00,16
3/20/20 22:00,9
3/20/20 21:00,16
3/20/20 20:00,22
3/20/20 19:00,22
3/20/20 18:00,27
3/20/20 17:00,24
3/20/20 16:00,35
3/20/20 15:00,26
3/20/20 14:00,29
3/20/20 13:00,51
3/20/20 12:00,43
3/20/20 11:00,77
3/20/20 10:00,43
3/20/20 09:00,36
3/20/20 08:00,40
3/20/20 07:00,32
3/20/20 06:00,32
3/20/20 05:00,34
3/20/20 04:00,25
3/20/20 03:00,22
3/20/20 02:00,19
3/20/20 01:00,25
3/20/20 00:00,20
3/19/20 23:00,16
3/19/20 22:00,19
3/19/20 21:00,14
3/19/20 20:00,16
3/19/20 19:00,13
3/19/20 18:00,30
3/19/20 17:00,18
3/19/20 16:00,24
3/19/20 15:00,21
3/19/20 14:00,21
3/19/20 13:00,22
3/19/20 12:00,29
3/19/20 11:00,34
3/19/20 10:00,26
3/19/20 09:00,31
3/19/20 08:00,30
3/19/20 07:00,33
3/19/20 06:00,27
3/19/20 05:00,18
3/19/20 04:00,18
3/19/20 03:00,17
3/19/20 02:00,27
3/19/20 01:00,24
3/19/20 00:00,13
3/18/20 23:00,14
3/18/20 22:00,4
3/18/20 21:00,14
3/18/20 20:00,18
3/18/20 19:00,12
3/18/20 18:00,14
3/18/20 17:00,10
3/18/20 16:00,21
3/18/20 15:00,22
3/18/20 14:00,26
3/18/20 13:00,31
3/18/20 12:00,47
3/18/20 11:00,34
3/18/20 10:00,27
3/18/20 09:00,34
3/18/20 08:00,27
3/18/20 07:00,30
3/18/20 06:00,28
3/18/20 05:00,19
3/18/20 04:00,19
3/18/20 03:00,17
3/18/20 02:00,15
3/18/20 01:00,22
3/18/20 00:00,16
3/17/20 23:00,8
3/17/20 22:00,6
3/17/20 21:00,10
3/17/20 20:00,13
