time,value
4/5/20,1184781
4/4/20,1140470
4/3/20,888911
4/2/20,546453
4/1/20,551675
3/31/20,542151
3/30/20,547169
3/29/20,545377
3/28/20,552315
3/27/20,541025
3/26/20,512036
3/25/20,505397
3/24/20,493473
3/23/20,402360
3/22/20,343181
3/21/20,259249
3/20/20,174966
3/19/20,132485
3/18/20,101576
3/17/20,83263
3/16/20,62903
3/15/20,41671
3/14/20,23443
3/13/20,13288
3/12/20,5929
3/11/20,3046
3/10/20,2332
3/9/20,1657
3/8/20,997
3/7/20,912
3/6/20,975
3/5/20,721
3/4/20,728
3/3/20,637
3/2/20,780
3/1/20,663
2/29/20,604
2/28/20,597
2/27/20,548
2/26/20,462
2/25/20,438
2/24/20,421
2/23/20,426
2/22/20,450
2/21/20,402
2/20/20,366
2/19/20,357
2/18/20,350
2/17/20,367
2/16/20,378
2/15/20,367
2/14/20,438
2/13/20,375
2/12/20,322
2/11/20,303
2/10/20,326
2/9/20,472
2/8/20,360
2/7/20,360
2/6/20,342
2/5/20,311
2/4/20,286
2/3/20,320
2/2/20,323
2/1/20,327
1/31/20,315
1/30/20,305
1/29/20,279
1/28/20,209
1/27/20,231
1/26/20,304
1/25/20,215
1/24/20,235
1/23/20,210
1/22/20,237
1/21/20,188
1/20/20,226
1/19/20,228
1/18/20,318
1/17/20,274
1/16/20,232
1/15/20,290
1/14/20,196
1/13/20,170
1/12/20,182
1/11/20,205
1/10/20,215
1/9/20,163
1/8/20,200
1/7/20,166
1/6/20,212
1/5/20,219
1/4/20,207
1/3/20,215
1/2/20,169
1/1/20,222
12/31/19,263
12/30/19,172
12/29/19,159
12/28/19,174
12/27/19,154
12/26/19,162
12/25/19,216
12/24/19,160
12/23/19,153
12/22/19,145
12/21/19,146
12/20/19,164
12/19/19,127
12/18/19,138
12/17/19,137
12/16/19,135
12/15/19,167
12/14/19,137
12/13/19,147
12/12/19,155
12/11/19,129
12/10/19,153
12/9/19,124
12/8/19,113
12/7/19,142
12/6/19,169
12/5/19,116
12/4/19,125
12/3/19,151
12/2/19,170
12/1/19,216
11/30/19,136
11/29/19,297
11/28/19,161
11/27/19,138
11/26/19,135
11/25/19,117
11/24/19,137
11/23/19,139
11/22/19,119
11/21/19,116
11/20/19,109
11/19/19,120
11/18/19,131
11/17/19,134
11/16/19,140
11/15/19,130
11/14/19,117
11/13/19,138
11/12/19,147
11/11/19,131
11/10/19,144
11/9/19,157
11/8/19,122
11/7/19,156
11/6/19,106
11/5/19,112
11/4/19,123
11/3/19,110
11/2/19,120
11/1/19,103
10/31/19,125
10/30/19,93
10/29/19,110
10/28/19,110
10/27/19,119
10/26/19,112
10/25/19,111
10/24/19,97
10/23/19,117
10/22/19,125
10/21/19,93
10/20/19,116
10/19/19,100
10/18/19,93
10/17/19,143
10/16/19,126
10/15/19,108
10/14/19,105
10/13/19,98
10/12/19,139
10/11/19,123
10/10/19,123
10/9/19,94
10/8/19,90
10/7/19,99
10/6/19,127
10/5/19,128
10/4/19,111
10/3/19,83
10/2/19,92
10/1/19,80
9/30/19,126
9/29/19,118
