time,freq
3/30/20 20:00,16
3/30/20 19:00,15
3/30/20 18:00,36
3/30/20 17:00,35
3/30/20 16:00,36
3/30/20 15:00,30
3/30/20 14:00,48
3/30/20 13:00,42
3/30/20 12:00,53
3/30/20 11:00,56
3/30/20 10:00,52
3/30/20 09:00,45
3/30/20 08:00,53
3/30/20 07:00,74
3/30/20 06:00,74
3/30/20 05:00,56
3/30/20 04:00,47
3/30/20 03:00,40
3/30/20 02:00,40
3/30/20 01:00,52
3/30/20 00:00,36
3/29/20 23:00,39
3/29/20 22:00,35
3/29/20 21:00,18
3/29/20 20:00,32
3/29/20 19:00,37
3/29/20 18:00,49
3/29/20 17:00,21
3/29/20 16:00,32
3/29/20 15:00,34
3/29/20 14:00,44
3/29/20 13:00,38
3/29/20 12:00,63
3/29/20 11:00,59
3/29/20 10:00,70
3/29/20 09:00,62
3/29/20 08:00,54
3/29/20 07:00,55
3/29/20 06:00,68
3/29/20 05:00,50
3/29/20 04:00,53
3/29/20 03:00,43
3/29/20 02:00,51
3/29/20 01:00,36
3/29/20 00:00,40
3/28/20 23:00,40
3/28/20 22:00,24
3/28/20 21:00,39
3/28/20 20:00,37
3/28/20 19:00,26
3/28/20 18:00,66
3/28/20 17:00,82
3/28/20 16:00,24
3/28/20 15:00,44
3/28/20 14:00,37
3/28/20 13:00,55
3/28/20 12:00,55
3/28/20 11:00,59
3/28/20 10:00,52
3/28/20 09:00,61
3/28/20 08:00,65
3/28/20 07:00,71
3/28/20 06:00,58
3/28/20 05:00,54
3/28/20 04:00,57
3/28/20 03:00,50
3/28/20 02:00,38
3/28/20 01:00,40
3/28/20 00:00,44
3/27/20 23:00,40
3/27/20 22:00,33
3/27/20 21:00,28
3/27/20 20:00,22
3/27/20 19:00,25
3/27/20 18:00,23
3/27/20 17:00,26
3/27/20 16:00,34
3/27/20 15:00,28
3/27/20 14:00,28
3/27/20 13:00,44
3/27/20 12:00,57
3/27/20 11:00,62
3/27/20 10:00,63
3/27/20 09:00,65
3/27/20 08:00,51
3/27/20 07:00,52
3/27/20 06:00,52
3/27/20 05:00,60
3/27/20 04:00,41
3/27/20 03:00,40
3/27/20 02:00,39
3/27/20 01:00,50
3/27/20 00:00,40
3/26/20 23:00,37
3/26/20 22:00,35
3/26/20 21:00,31
3/26/20 20:00,25
3/26/20 19:00,25
3/26/20 18:00,30
3/26/20 17:00,38
3/26/20 16:00,28
3/26/20 15:00,39
3/26/20 14:00,54
3/26/20 13:00,44
3/26/20 12:00,51
3/26/20 11:00,40
3/26/20 10:00,55
3/26/20 09:00,43
3/26/20 08:00,55
3/26/20 07:00,41
3/26/20 06:00,57
3/26/20 05:00,48
3/26/20 04:00,46
3/26/20 03:00,39
3/26/20 02:00,39
3/26/20 01:00,46
3/26/20 00:00,38
3/25/20 23:00,26
3/25/20 22:00,27
3/25/20 21:00,24
3/25/20 20:00,21
3/25/20 19:00,40
3/25/20 18:00,29
3/25/20 17:00,59
3/25/20 16:00,37
3/25/20 15:00,40
3/25/20 14:00,48
3/25/20 13:00,52
3/25/20 12:00,47
3/25/20 11:00,61
3/25/20 10:00,47
3/25/20 09:00,56
3/25/20 08:00,49
3/25/20 07:00,62
3/25/20 06:00,66
3/25/20 05:00,48
3/25/20 04:00,50
3/25/20 03:00,44
3/25/20 02:00,52
3/25/20 01:00,55
3/25/20 00:00,41
3/24/20 23:00,31
3/24/20 22:00,35
3/24/20 21:00,25
3/24/20 20:00,25
3/24/20 19:00,32
3/24/20 18:00,27
3/24/20 17:00,30
3/24/20 16:00,22
3/24/20 15:00,26
3/24/20 14:00,34
3/24/20 13:00,55
3/24/20 12:00,45
3/24/20 11:00,59
3/24/20 10:00,60
3/24/20 09:00,70
3/24/20 08:00,54
3/24/20 07:00,56
3/24/20 06:00,57
3/24/20 05:00,42
3/24/20 04:00,43
3/24/20 03:00,43
3/24/20 02:00,34
3/24/20 01:00,35
3/24/20 00:00,32
3/23/20 23:00,26
3/23/20 22:00,21
3/23/20 21:00,13
3/23/20 20:00,14
3/23/20 19:00,26
3/23/20 18:00,22
3/23/20 17:00,27
3/23/20 16:00,43
3/23/20 15:00,42
3/23/20 14:00,82
3/23/20 13:00,51
3/23/20 12:00,44
3/23/20 11:00,56
3/23/20 10:00,41
3/23/20 09:00,54
3/23/20 08:00,46
3/23/20 07:00,68
3/23/20 06:00,52
3/23/20 05:00,34
3/23/20 04:00,38
3/23/20 03:00,29
3/23/20 02:00,31
3/23/20 01:00,38
3/23/20 00:00,40
3/22/20 23:00,27
3/22/20 22:00,26
3/22/20 21:00,20
3/22/20 20:00,20
3/22/20 19:00,21
3/22/20 18:00,16
3/22/20 17:00,36
3/22/20 16:00,27
3/22/20 15:00,34
3/22/20 14:00,25
3/22/20 13:00,45
3/22/20 12:00,45
3/22/20 11:00,49
3/22/20 10:00,49
3/22/20 09:00,36
3/22/20 08:00,34
3/22/20 07:00,35
3/22/20 06:00,47
3/22/20 05:00,27
3/22/20 04:00,34
3/22/20 03:00,35
3/22/20 02:00,34
3/22/20 01:00,35
3/22/20 00:00,25
3/21/20 23:00,17
3/21/20 22:00,26
3/21/20 21:00,17
3/21/20 20:00,19
3/21/20 19:00,17
3/21/20 18:00,20
3/21/20 17:00,25
3/21/20 16:00,17
3/21/20 15:00,24
3/21/20 14:00,31
3/21/20 13:00,33
3/21/20 12:00,42
3/21/20 11:00,40
3/21/20 10:00,42
