time,value
2020-04-09 01:55:01,236401
2020-04-09 02:55:01,213201
2020-04-09 03:55:01,203017
2020-04-09 04:55:01,147644
2020-04-09 05:55:01,213226
2020-04-09 06:55:01,150047
2020-04-09 07:55:01,187666
2020-04-09 08:55:02,222716
2020-04-09 09:55:01,288951
2020-04-09 10:55:02,175827
2020-04-09 11:55:02,120486
2020-04-09 12:55:01,240913
2020-04-09 13:55:01,175710
2020-04-09 14:55:01,131500
2020-04-09 15:55:02,220480
2020-04-09 16:55:02,230077
2020-04-09 17:55:01,199482
2020-04-09 18:55:01,356314
2020-04-09 19:55:01,227316
2020-04-09 20:55:02,364327
2020-04-09 21:55:01,254336
2020-04-09 22:55:01,266810
2020-04-09 23:55:01,246144
2020-04-10 00:55:01,190196
2020-04-10 01:55:01,162191
2020-04-10 02:55:01,174277
2020-04-10 03:55:02,173611
2020-04-10 04:55:02,213213
2020-04-10 05:55:01,258324
2020-04-10 06:55:01,233395
2020-04-10 07:55:01,229316
2020-04-10 08:55:01,261038
2020-04-10 09:55:01,234156
2020-04-10 10:55:01,315985
2020-04-10 11:55:01,195441
2020-04-10 12:55:01,181469
2020-04-10 13:55:01,170141
2020-04-10 14:55:01,228098
2020-04-10 15:55:01,240373
2020-04-10 16:55:01,224303
2020-04-10 17:55:02,320761
2020-04-10 18:55:01,210200
2020-04-10 19:55:01,343701
2020-04-10 20:55:01,266387
2020-04-10 21:55:01,300088
2020-04-10 22:55:01,232311
2020-04-10 23:55:01,190952
2020-04-11 00:55:01,208917
2020-04-11 01:55:01,165885
2020-04-11 02:55:02,179869
2020-04-11 03:55:02,191126
2020-04-11 04:55:01,262707
2020-04-11 05:55:01,215924
2020-04-11 06:55:02,193868
2020-04-11 07:55:01,141909
2020-04-11 08:55:01,162541
2020-04-11 09:55:01,366245
2020-04-11 10:55:01,162114
2020-04-11 11:55:01,147598
2020-04-11 12:55:01,212065
2020-04-11 13:55:01,149353
2020-04-11 14:55:01,97559
2020-04-11 15:55:01,316968
2020-04-11 16:55:02,291973
2020-04-11 17:55:01,240619
2020-04-11 18:55:01,289882
2020-04-11 19:55:01,262001
2020-04-11 20:55:01,382102
2020-04-11 21:55:01,334241
2020-04-11 22:55:01,177810
2020-04-11 23:55:01,217992
2020-04-12 00:55:01,242150
2020-04-12 01:55:01,236441
2020-04-12 02:55:02,227139
2020-04-12 03:55:01,144811
2020-04-12 04:55:01,187787
2020-04-12 05:55:01,246249
2020-04-12 06:55:01,255053
2020-04-12 07:55:01,201531
2020-04-12 08:55:01,189823
2020-04-12 09:55:01,282657
2020-04-12 10:55:02,245613
2020-04-12 11:55:02,133426
2020-04-12 12:55:01,196089
2020-04-12 13:55:01,145131
2020-04-12 14:55:02,155265
2020-04-12 15:55:01,208083
2020-04-12 16:55:01,309744
2020-04-12 17:55:01,198952
2020-04-12 18:55:01,240684
2020-04-12 19:55:01,484689
2020-04-12 20:55:02,302476
2020-04-12 21:55:01,293592
2020-04-12 22:55:02,257358
2020-04-12 23:55:02,242288
2020-04-13 00:55:01,182322
2020-04-13 01:55:01,153419
2020-04-13 02:55:02,236824
2020-04-13 03:55:01,169204
2020-04-13 04:55:01,178236
2020-04-13 05:55:01,274500
2020-04-13 06:55:01,203129
2020-04-13 07:55:02,232805
2020-04-13 08:55:01,197495
2020-04-13 09:55:02,239272
2020-04-13 10:55:02,214332
2020-04-13 11:55:01,230804
2020-04-13 12:55:01,203367
