time,value
2020-04-09 02:55:01,4536
2020-04-09 03:55:01,3671
2020-04-09 04:55:01,2782
2020-04-09 05:55:01,2014
2020-04-09 06:55:01,2812
2020-04-09 07:55:01,1905
2020-04-09 08:55:01,2257
2020-04-09 09:55:02,2308
2020-04-09 10:55:01,2119
2020-04-09 11:55:02,1204
2020-04-09 12:55:02,630
2020-04-09 13:55:01,1373
2020-04-09 14:55:01,995
2020-04-09 15:55:01,729
2020-04-09 16:55:02,1099
2020-04-09 17:55:02,1544
2020-04-09 18:55:01,1416
2020-04-09 19:55:01,2798
2020-04-09 20:55:01,2239
2020-04-09 21:55:02,3416
2020-04-09 22:55:01,3269
2020-04-09 23:55:01,4100
2020-04-10 00:55:01,4305
2020-04-10 01:55:01,3333
2020-04-10 02:55:01,2965
2020-04-10 03:55:01,2802
2020-04-10 04:55:02,2617
2020-04-10 05:55:02,2827
2020-04-10 06:55:01,3324
2020-04-10 07:55:01,3147
2020-04-10 08:55:01,2794
2020-04-10 09:55:01,2428
2020-04-10 10:55:01,1868
2020-04-10 11:55:01,1999
2020-04-10 12:55:01,1076
2020-04-10 13:55:01,1144
2020-04-10 14:55:01,804
2020-04-10 15:55:01,1208
2020-04-10 16:55:01,1306
2020-04-10 17:55:01,1488
2020-04-10 18:55:02,2682
2020-04-10 19:55:01,2026
2020-04-10 20:55:01,3221
2020-04-10 21:55:01,2400
2020-04-10 22:55:01,3823
2020-04-10 23:55:01,3511
2020-04-11 00:55:01,3243
2020-04-11 01:55:01,3645
2020-04-11 02:55:01,3094
2020-04-11 03:55:02,3127
2020-04-11 04:55:02,2718
2020-04-11 05:55:01,3605
2020-04-11 06:55:01,2969
2020-04-11 07:55:02,2500
2020-04-11 08:55:01,1689
2020-04-11 09:55:01,1784
2020-04-11 10:55:01,2862
2020-04-11 11:55:01,990
2020-04-11 12:55:01,781
2020-04-11 13:55:01,1037
2020-04-11 14:55:01,676
2020-04-11 15:55:01,311
2020-04-11 16:55:01,1603
2020-04-11 17:55:02,1949
2020-04-11 18:55:01,1740
2020-04-11 19:55:01,2432
2020-04-11 20:55:01,2552
2020-04-11 21:55:01,4493
2020-04-11 22:55:01,4631
2020-04-11 23:55:01,3091
2020-04-12 00:55:01,5893
2020-04-12 01:55:01,5876
2020-04-12 02:55:01,4521
2020-04-12 03:55:02,3811
2020-04-12 04:55:01,2111
2020-04-12 05:55:01,2488
2020-04-12 06:55:01,2909
2020-04-12 07:55:01,3137
2020-04-12 08:55:01,2379
2020-04-12 09:55:01,1630
2020-04-12 10:55:01,2170
2020-04-12 11:55:02,1397
2020-04-12 12:55:02,719
2020-04-12 13:55:01,978
2020-04-12 14:55:01,699
2020-04-12 15:55:02,475
2020-04-12 16:55:01,1001
2020-04-12 17:55:01,1803
2020-04-12 18:55:01,1269
