time,value
2020-04-09 02:55:01,1961
2020-04-09 03:55:01,1613
2020-04-09 04:55:01,1291
2020-04-09 05:55:01,889
2020-04-09 06:55:01,1418
2020-04-09 07:55:01,923
2020-04-09 08:55:01,1119
2020-04-09 09:55:02,1153
2020-04-09 10:55:01,1121
2020-04-09 11:55:02,634
2020-04-09 12:55:02,442
2020-04-09 13:55:01,834
2020-04-09 14:55:01,567
2020-04-09 15:55:01,471
2020-04-09 16:55:02,593
2020-04-09 17:55:02,771
2020-04-09 18:55:01,804
2020-04-09 19:55:01,1600
2020-04-09 20:55:01,1134
2020-04-09 21:55:02,2100
2020-04-09 22:55:01,1766
2020-04-09 23:55:01,1873
2020-04-10 00:55:01,2038
2020-04-10 01:55:01,1721
2020-04-10 02:55:01,1420
2020-04-10 03:55:01,1460
2020-04-10 04:55:02,1301
2020-04-10 05:55:02,1446
2020-04-10 06:55:01,1696
2020-04-10 07:55:01,1819
2020-04-10 08:55:01,1885
2020-04-10 09:55:01,1574
2020-04-10 10:55:01,1026
2020-04-10 11:55:01,1166
2020-04-10 12:55:01,605
2020-04-10 13:55:01,823
2020-04-10 14:55:01,693
2020-04-10 15:55:01,731
2020-04-10 16:55:01,883
2020-04-10 17:55:01,926
2020-04-10 18:55:02,1584
2020-04-10 19:55:01,1143
2020-04-10 20:55:01,1973
2020-04-10 21:55:01,1321
2020-04-10 22:55:01,1911
2020-04-10 23:55:01,2006
2020-04-11 00:55:01,1753
2020-04-11 01:55:01,2235
2020-04-11 02:55:01,1698
2020-04-11 03:55:02,1743
2020-04-11 04:55:02,1609
2020-04-11 05:55:01,2014
2020-04-11 06:55:01,1822
2020-04-11 07:55:02,1379
2020-04-11 08:55:01,986
2020-04-11 09:55:01,1046
2020-04-11 10:55:01,1844
2020-04-11 11:55:01,612
2020-04-11 12:55:01,506
2020-04-11 13:55:01,779
2020-04-11 14:55:01,498
2020-04-11 15:55:01,257
2020-04-11 16:55:01,1156
2020-04-11 17:55:02,1141
2020-04-11 18:55:01,1125
2020-04-11 19:55:01,1694
2020-04-11 20:55:01,1696
2020-04-11 21:55:01,2731
2020-04-11 22:55:01,2732
2020-04-11 23:55:01,1587
2020-04-12 00:55:01,2193
2020-04-12 01:55:01,2334
2020-04-12 02:55:01,2182
2020-04-12 03:55:02,1915
2020-04-12 04:55:01,1130
2020-04-12 05:55:01,1316
2020-04-12 06:55:01,1641
2020-04-12 07:55:01,1597
2020-04-12 08:55:01,1265
2020-04-12 09:55:01,972
2020-04-12 10:55:01,1313
2020-04-12 11:55:02,872
2020-04-12 12:55:02,516
2020-04-12 13:55:01,739
2020-04-12 14:55:01,506
2020-04-12 15:55:02,501
2020-04-12 16:55:01,835
2020-04-12 17:55:01,1406
2020-04-12 18:55:01,956
2020-04-12 19:55:01,1234
2020-04-12 20:55:01,2921
2020-04-12 21:55:02,2207
2020-04-12 22:55:01,2422
2020-04-12 23:55:02,2559
2020-04-13 00:55:02,2773
2020-04-13 01:55:01,2120
2020-04-13 02:55:01,1624
2020-04-13 03:55:02,2442
2020-04-13 04:55:01,1438
2020-04-13 05:55:01,1397
2020-04-13 06:55:01,2110
2020-04-13 07:55:01,1523
2020-04-13 08:55:02,1716
2020-04-13 09:55:01,1265
2020-04-13 10:55:02,1276
2020-04-13 11:55:02,1036
2020-04-13 12:55:01,909
2020-04-13 13:55:01,849
2020-04-13 14:55:01,475
2020-04-13 15:55:01,1044
2020-04-13 16:55:01,1141
2020-04-13 17:55:01,1339
2020-04-13 18:55:01,1554
2020-04-13 19:55:01,1165
2020-04-13 20:55:01,2242
2020-04-13 21:55:01,1155
2020-04-13 22:55:01,2008
2020-04-13 23:55:01,3135
2020-04-14 00:55:01,2036
2020-04-14 01:55:02,1738
2020-04-14 02:55:01,2399
2020-04-14 03:55:01,1771
2020-04-14 04:55:01,1748
2020-04-14 05:55:01,1600
2020-04-14 06:55:02,914
2020-04-14 07:55:02,1678
2020-04-14 08:55:02,1165
2020-04-14 09:55:02,209
2020-04-14 10:55:01,249
2020-04-14 11:55:01,2939
2020-04-14 12:55:01,1169
2020-04-14 13:55:01,1047
2020-04-14 14:55:01,764
2020-04-14 15:55:01,548
2020-04-14 16:55:01,1254
2020-04-14 17:55:01,815
2020-04-14 18:55:01,1851
2020-04-14 19:55:01,1337
2020-04-14 20:55:01,1969
2020-04-14 21:55:01,1519
2020-04-14 22:55:01,2258
2020-04-14 23:55:01,2289
2020-04-15 00:55:01,1542
2020-04-15 01:55:01,1952
2020-04-15 02:55:01,2134
2020-04-15 03:55:01,2181
2020-04-15 04:55:01,1087
2020-04-15 05:55:01,1280
2020-04-15 06:55:01,1358
2020-04-15 07:55:01,1647
2020-04-15 08:55:01,1272
2020-04-15 09:55:01,1247
2020-04-15 10:55:01,1148
2020-04-15 11:55:01,1073
2020-04-15 12:55:01,582
2020-04-15 13:55:01,734
2020-04-15 14:55:02,633
2020-04-15 15:55:01,282
2020-04-15 16:55:02,705
2020-04-15 17:55:02,1376
2020-04-15 18:55:02,1334
2020-04-15 19:55:01,1445
2020-04-15 20:55:01,1904
2020-04-15 21:55:01,1641
2020-04-15 22:55:02,1777
2020-04-15 23:55:01,2159
2020-04-16 00:55:01,1084
2020-04-16 01:55:01,1880
2020-04-16 02:55:01,2495
2020-04-16 03:55:01,1684
2020-04-16 04:55:01,1626
2020-04-16 05:55:01,2060
2020-04-16 06:55:01,1607
2020-04-16 07:55:01,1422
2020-04-16 08:55:01,1319
2020-04-16 09:55:01,1058
2020-04-16 10:55:01,468
2020-04-16 11:55:01,827
2020-04-16 12:55:01,1618
2020-04-16 13:55:01,557
2020-04-16 14:55:01,675
2020-04-16 15:55:01,695
2020-04-16 16:55:01,800
2020-04-16 17:55:01,940
2020-04-16 18:55:01,1301
2020-04-16 19:55:01,1602
2020-04-16 20:55:01,1193
2020-04-16 21:55:01,1850
2020-04-16 22:55:01,2951
2020-04-16 23:55:01,2243
2020-04-17 00:55:01,1710
2020-04-17 01:55:01,1919
2020-04-17 02:55:01,1929
2020-04-17 03:55:01,1347
2020-04-17 04:55:01,1160
2020-04-17 05:55:01,1483
2020-04-17 06:55:01,1115
2020-04-17 07:55:02,1369
2020-04-17 08:55:01,1156
2020-04-17 09:55:01,945
2020-04-17 10:55:02,1289
2020-04-17 11:55:01,1081
2020-04-17 12:55:01,683
2020-04-17 13:55:01,605
2020-04-17 14:55:01,445
2020-04-17 15:55:02,131
2020-04-17 16:55:01,581
2020-04-17 17:55:01,132
2020-04-17 18:55:02,1115
2020-04-17 19:55:01,249
2020-04-17 20:55:01,1923
2020-04-17 21:55:01,2345
2020-04-17 22:55:02,2547
2020-04-17 23:55:02,2729
2020-04-18 00:55:01,1223
2020-04-18 01:55:01,2216
2020-04-18 02:55:01,1945
2020-04-18 03:55:01,1570
2020-04-18 04:55:01,1414
2020-04-18 05:55:01,1243
2020-04-18 06:55:01,1462
2020-04-18 07:55:01,1278
2020-04-18 08:55:01,1371
2020-04-18 09:55:01,1148
2020-04-18 10:55:01,1108
2020-04-18 11:55:01,1307
2020-04-18 12:55:01,628
2020-04-18 13:55:01,607
2020-04-18 14:55:01,525
2020-04-18 15:55:01,583
2020-04-18 16:55:01,762
2020-04-18 17:55:01,688
2020-04-18 18:55:01,1236
2020-04-18 19:55:01,1043
2020-04-18 20:55:02,1014
2020-04-18 21:55:01,1576
2020-04-18 22:55:01,2738
2020-04-18 23:55:01,2000
2020-04-19 00:55:01,2125
2020-04-19 01:55:01,1658
2020-04-19 02:55:01,1685
2020-04-19 03:55:01,1760
2020-04-19 04:55:01,1403
2020-04-19 05:55:01,1916
2020-04-19 06:55:01,1310
2020-04-19 07:55:01,1633
2020-04-19 08:55:01,1448
2020-04-19 09:55:01,729
2020-04-19 10:55:01,1463
2020-04-19 11:55:01,1318
2020-04-19 12:55:01,706
2020-04-19 13:55:01,555
2020-04-19 14:55:01,680
2020-04-19 15:55:01,1027
2020-04-19 16:55:01,582
2020-04-19 17:55:01,695
2020-04-19 18:55:01,1050
2020-04-19 19:55:01,1492
2020-04-19 20:55:01,1584
2020-04-19 21:55:01,1678
2020-04-19 22:55:01,1899
2020-04-19 23:55:02,2361
2020-04-20 00:55:01,2041
2020-04-20 01:55:02,2208
2020-04-20 02:55:01,2223
2020-04-20 03:55:01,1748
2020-04-20 04:55:01,1542
2020-04-20 05:55:01,1696
2020-04-20 06:55:01,1176
2020-04-20 07:55:01,1880
2020-04-20 08:55:01,734
2020-04-20 09:55:01,1166
2020-04-20 10:55:02,1269
2020-04-20 11:55:02,927
2020-04-20 12:55:01,610
2020-04-20 13:55:01,574
2020-04-20 14:55:01,936
2020-04-20 15:55:01,789
2020-04-20 16:55:01,686
2020-04-20 17:55:01,1141
2020-04-20 18:55:01,1676
2020-04-20 19:55:01,1900
2020-04-20 20:55:01,1923
2020-04-20 21:55:01,1541
2020-04-20 22:55:01,2598
2020-04-20 23:55:01,2470
2020-04-21 00:55:01,2559
2020-04-21 01:55:01,1930
2020-04-21 02:55:01,2076
2020-04-21 03:55:02,1933
2020-04-21 04:55:01,1146
2020-04-21 05:55:01,1482
2020-04-21 06:55:01,1566
2020-04-21 07:55:01,1615
2020-04-21 08:55:01,1644
2020-04-21 09:55:01,1227
2020-04-21 10:55:01,1155
2020-04-21 11:55:01,1039
2020-04-21 12:55:02,752
2020-04-21 13:55:01,754
2020-04-21 14:55:01,524
2020-04-21 15:55:01,930
2020-04-21 16:55:02,901
2020-04-21 17:55:02,1180
2020-04-21 18:55:01,1752
2020-04-21 19:55:01,1400
2020-04-21 20:55:01,1858
2020-04-21 21:55:01,2046
2020-04-21 22:55:01,2924
2020-04-21 23:55:01,2711
2020-04-22 00:55:02,2493
2020-04-22 01:55:01,2454
2020-04-22 02:55:02,1844
2020-04-22 03:55:01,1677
2020-04-22 04:55:01,1915
2020-04-22 05:55:01,1938
2020-04-22 06:55:01,1656
2020-04-22 07:55:01,1888
2020-04-22 08:55:02,1622
2020-04-22 09:55:01,1326
2020-04-22 10:55:01,1198
2020-04-22 11:55:01,1340
2020-04-22 12:55:02,532
2020-04-22 13:55:02,852
2020-04-22 14:55:01,673
2020-04-22 15:55:02,936
2020-04-22 16:55:01,668
2020-04-22 17:55:01,1196
2020-04-22 18:55:01,1352
2020-04-22 19:55:01,1691
2020-04-22 20:55:01,1891
2020-04-22 21:55:01,2303
2020-04-22 22:55:01,2922
2020-04-22 23:55:01,3142
2020-04-23 00:55:01,2948
2020-04-23 01:55:01,2813
2020-04-23 02:55:02,2216
2020-04-23 03:55:02,2041
2020-04-23 04:55:01,1951
2020-04-23 05:55:01,1725
2020-04-23 06:55:01,1993
2020-04-23 07:55:01,1480
2020-04-23 08:55:01,1397
2020-04-23 09:55:01,1137
