time,value
2020-04-08 21:55:01,36840
2020-04-08 22:55:01,31153
2020-04-08 23:55:01,28230
2020-04-09 00:55:01,19483
2020-04-09 01:55:01,24780
2020-04-09 02:55:01,15784
2020-04-09 03:55:01,18096
2020-04-09 04:55:02,21032
2020-04-09 05:55:01,28886
2020-04-09 06:55:02,15007
2020-04-09 07:55:02,11656
2020-04-09 08:55:01,24425
2020-04-09 09:55:01,17034
2020-04-09 10:55:01,12207
2020-04-09 11:55:02,18513
2020-04-09 12:55:02,24039
2020-04-09 13:55:01,22929
2020-04-09 14:55:01,46180
2020-04-09 15:55:01,26656
2020-04-09 16:55:02,52901
2020-04-09 17:55:01,35361
2020-04-09 18:55:01,40882
2020-04-09 19:55:01,38580
2020-04-09 20:55:01,29427
2020-04-09 21:55:01,22904
2020-04-09 22:55:01,24410
2020-04-09 23:55:02,22432
2020-04-10 00:55:02,25388
2020-04-10 01:55:01,29222
2020-04-10 02:55:01,23777
2020-04-10 03:55:01,21181
2020-04-10 04:55:01,22953
2020-04-10 05:55:01,19879
2020-04-10 06:55:01,27972
2020-04-10 07:55:01,16241
2020-04-10 08:55:01,16331
2020-04-10 09:55:01,15293
2020-04-10 10:55:01,16726
2020-04-10 11:55:01,23298
2020-04-10 12:55:01,24946
2020-04-10 13:55:02,33863
2020-04-10 14:55:01,24674
2020-04-10 15:55:01,40347
2020-04-10 16:55:01,36120
2020-04-10 17:55:01,40103
2020-04-10 18:55:01,33289
2020-04-10 19:55:01,27927
2020-04-10 20:55:01,29272
2020-04-10 21:55:01,23840
2020-04-10 22:55:02,22116
2020-04-10 23:55:02,24245
2020-04-11 00:55:01,30640
2020-04-11 01:55:01,23866
2020-04-11 02:55:02,18889
2020-04-11 03:55:01,13773
2020-04-11 04:55:01,14112
2020-04-11 05:55:01,34607
2020-04-11 06:55:01,14787
2020-04-11 07:55:01,13478
2020-04-11 08:55:01,19890
2020-04-11 09:55:01,14129
2020-04-11 10:55:01,3160
2020-04-11 11:55:01,29197
2020-04-11 12:55:02,29053
2020-04-11 13:55:01,25515
2020-04-11 14:55:01,32802
2020-04-11 15:55:01,30337
2020-04-11 16:55:01,47237
2020-04-11 17:55:01,44053
2020-04-11 18:55:01,24464
2020-04-11 19:55:01,26980
2020-04-11 20:55:01,31162
2020-04-11 21:55:01,29962
2020-04-11 22:55:02,27356
2020-04-11 23:55:01,15964
2020-04-12 00:55:01,19928
2020-04-12 01:55:01,24813
2020-04-12 02:55:01,23845
2020-04-12 03:55:01,17456
2020-04-12 04:55:01,15760
2020-04-12 05:55:01,21891
2020-04-12 06:55:02,20947
2020-04-12 07:55:02,12059
2020-04-12 08:55:01,15817
2020-04-12 09:55:01,8276
2020-04-12 10:55:02,13557
2020-04-12 11:55:01,19207
2020-04-12 12:55:01,29234
2020-04-12 13:55:01,19575
2020-04-12 14:55:01,24374
2020-04-12 15:55:01,50479
2020-04-12 16:55:02,34615
2020-04-12 17:55:01,34031
2020-04-12 18:55:02,32156
2020-04-12 19:55:02,31733
2020-04-12 20:55:01,23637
2020-04-12 21:55:01,19337
2020-04-12 22:55:02,27072
2020-04-12 23:55:01,18098
2020-04-13 00:55:01,18007
2020-04-13 01:55:01,27515
2020-04-13 02:55:01,17716
2020-04-13 03:55:02,18170
2020-04-13 04:55:01,15490
2020-04-13 05:55:02,18792
2020-04-13 06:55:02,17895
2020-04-13 07:55:01,18832
2020-04-13 08:55:01,17055
2020-04-13 09:55:01,5948
2020-04-13 10:55:01,21268
2020-04-13 11:55:01,22143
2020-04-13 12:55:01,22067
2020-04-13 13:55:01,27176
2020-04-13 14:55:01,23936
2020-04-13 15:55:01,31119
2020-04-13 16:55:01,17081
2020-04-13 17:55:01,32275
2020-04-13 18:55:01,41377
2020-04-13 19:55:01,27338
2020-04-13 20:55:02,22929
2020-04-13 21:55:01,29098
2020-04-13 22:55:01,25584
2020-04-13 23:55:01,21930
2020-04-14 00:55:01,20559
2020-04-14 01:55:02,14031
2020-04-14 02:55:02,20560
2020-04-14 03:55:02,12515
2020-04-14 04:55:02,5244
2020-04-14 05:55:01,7072
2020-04-14 06:55:01,38171
2020-04-14 07:55:01,19463
2020-04-14 08:55:01,22363
2020-04-14 09:55:01,15155
2020-04-14 10:55:01,10389
2020-04-14 11:55:01,22665
2020-04-14 12:55:01,15368
2020-04-14 13:55:01,30544
2020-04-14 14:55:01,22238
2020-04-14 15:55:01,32593
2020-04-14 16:55:01,30246
2020-04-14 17:55:01,33512
2020-04-14 18:55:01,28429
2020-04-14 19:55:01,21966
2020-04-14 20:55:01,26552
2020-04-14 21:55:01,28155
2020-04-14 22:55:01,33486
2020-04-14 23:55:01,16684
2020-04-15 00:55:01,18831
2020-04-15 01:55:01,19338
2020-04-15 02:55:01,22945
2020-04-15 03:55:01,16984
2020-04-15 04:55:01,19168
2020-04-15 05:55:01,20105
2020-04-15 06:55:01,21834
2020-04-15 07:55:01,13933
2020-04-15 08:55:01,16481
2020-04-15 09:55:02,14346
2020-04-15 10:55:01,2120
2020-04-15 11:55:02,20428
2020-04-15 12:55:02,25213
2020-04-15 13:55:02,28153
2020-04-15 14:55:01,28696
2020-04-15 15:55:01,38659
2020-04-15 16:55:01,31783
2020-04-15 17:55:02,35459
2020-04-15 18:55:01,35644
2020-04-15 19:55:01,20156
2020-04-15 20:55:01,30743
2020-04-15 21:55:01,33200
2020-04-15 22:55:01,26025
2020-04-15 23:55:01,22712
2020-04-16 00:55:01,30839
2020-04-16 01:55:01,23073
2020-04-16 02:55:01,20152
2020-04-16 03:55:01,19239
2020-04-16 04:55:01,13931
2020-04-16 05:55:01,10225
2020-04-16 06:55:01,15126
2020-04-16 07:55:01,30788
2020-04-16 08:55:01,15437
2020-04-16 09:55:01,17800
2020-04-16 10:55:01,18636
2020-04-16 11:55:01,16606
2020-04-16 12:55:01,21245
2020-04-16 13:55:01,27438
2020-04-16 14:55:01,31762
2020-04-16 15:55:01,24973
2020-04-16 16:55:01,35659
2020-04-16 17:55:01,45073
2020-04-16 18:55:01,34170
2020-04-16 19:55:01,31413
2020-04-16 20:55:01,31827
2020-04-16 21:55:01,29858
2020-04-16 22:55:01,22950
2020-04-16 23:55:01,22138
2020-04-17 00:55:01,25369
2020-04-17 01:55:01,18160
2020-04-17 02:55:02,18626
2020-04-17 03:55:01,17545
2020-04-17 04:55:01,13173
2020-04-17 05:55:02,27434
2020-04-17 06:55:01,19981
2020-04-17 07:55:01,16663
2020-04-17 08:55:01,16910
2020-04-17 09:55:01,12698
2020-04-17 10:55:02,5921
2020-04-17 11:55:01,15391
2020-04-17 12:55:01,5162
2020-04-17 13:55:02,28319
2020-04-17 14:55:01,10812
2020-04-17 15:55:01,44038
2020-04-17 16:55:01,52676
2020-04-17 17:55:02,49370
2020-04-17 18:55:02,44266
2020-04-17 19:55:01,23366
2020-04-17 20:55:01,31930
2020-04-17 21:55:01,27374
2020-04-17 22:55:01,26848
2020-04-17 23:55:01,22828
2020-04-18 00:55:01,19436
2020-04-18 01:55:01,23793
2020-04-18 02:55:01,18538
2020-04-18 03:55:01,19056
2020-04-18 04:55:01,16005
2020-04-18 05:55:01,22578
2020-04-18 06:55:01,24933
2020-04-18 07:55:01,13418
2020-04-18 08:55:01,17497
2020-04-18 09:55:01,14330
2020-04-18 10:55:01,20149
2020-04-18 11:55:01,15572
2020-04-18 12:55:01,19803
2020-04-18 13:55:01,26983
2020-04-18 14:55:01,21440
2020-04-18 15:55:02,28254
2020-04-18 16:55:01,41178
2020-04-18 17:55:01,50829
2020-04-18 18:55:01,40738
2020-04-18 19:55:01,37899
2020-04-18 20:55:01,26905
2020-04-18 21:55:01,29011
2020-04-18 22:55:01,28253
2020-04-18 23:55:01,19629
2020-04-19 00:55:01,29504
2020-04-19 01:55:01,17995
2020-04-19 02:55:01,23088
2020-04-19 03:55:01,19173
2020-04-19 04:55:01,12428
2020-04-19 05:55:01,24522
2020-04-19 06:55:01,24539
2020-04-19 07:55:01,12882
2020-04-19 08:55:01,12782
2020-04-19 09:55:01,18007
2020-04-19 10:55:01,23528
2020-04-19 11:55:01,16683
2020-04-19 12:55:01,12524
2020-04-19 13:55:01,16480
2020-04-19 14:55:01,32002
2020-04-19 15:55:01,29045
2020-04-19 16:55:01,32421
2020-04-19 17:55:01,34436
2020-04-19 18:55:02,35094
2020-04-19 19:55:01,32680
2020-04-19 20:55:02,29810
2020-04-19 21:55:01,31274
2020-04-19 22:55:01,26360
2020-04-19 23:55:01,24822
2020-04-20 00:55:01,27435
2020-04-20 01:55:01,16945
2020-04-20 02:55:01,24613
2020-04-20 03:55:01,10882
2020-04-20 04:55:01,16703
2020-04-20 05:55:02,21368
2020-04-20 06:55:02,17786
2020-04-20 07:55:01,13028
2020-04-20 08:55:01,12356
2020-04-20 09:55:01,18110
2020-04-20 10:55:01,16841
2020-04-20 11:55:01,25022
2020-04-20 12:55:01,20560
2020-04-20 13:55:01,28730
2020-04-20 14:55:01,32866
2020-04-20 15:55:01,29688
2020-04-20 16:55:01,27398
2020-04-20 17:55:01,41771
2020-04-20 18:55:01,33746
2020-04-20 19:55:01,32834
2020-04-20 20:55:01,26153
2020-04-20 21:55:01,28325
2020-04-20 22:55:02,24438
2020-04-20 23:55:01,17913
2020-04-21 00:55:01,23077
2020-04-21 01:55:01,22363
2020-04-21 02:55:01,20007
2020-04-21 03:55:01,20038
2020-04-21 04:55:01,16608
2020-04-21 05:55:01,21516
2020-04-21 06:55:01,17085
2020-04-21 07:55:02,16187
2020-04-21 08:55:01,15264
2020-04-21 09:55:01,10145
2020-04-21 10:55:01,26576
2020-04-21 11:55:02,17200
2020-04-21 12:55:02,18766
2020-04-21 13:55:01,23922
2020-04-21 14:55:01,23524
2020-04-21 15:55:01,29846
2020-04-21 16:55:01,33317
