time,value
2020-04-08 21:55:01,114699
2020-04-08 22:55:01,104489
2020-04-08 23:55:01,100146
2020-04-09 00:55:01,73648
2020-04-09 01:55:01,112974
2020-04-09 02:55:01,79280
2020-04-09 03:55:01,106778
2020-04-09 04:55:02,134660
2020-04-09 05:55:01,184201
2020-04-09 06:55:02,111001
2020-04-09 07:55:02,74916
2020-04-09 08:55:01,152938
2020-04-09 09:55:01,110706
2020-04-09 10:55:01,82189
2020-04-09 11:55:02,138858
2020-04-09 12:55:02,142160
2020-04-09 13:55:01,122774
2020-04-09 14:55:01,219201
2020-04-09 15:55:01,139629
2020-04-09 16:55:02,216987
2020-04-09 17:55:01,146231
2020-04-09 18:55:01,146512
2020-04-09 19:55:01,129362
2020-04-09 20:55:01,97291
2020-04-09 21:55:01,80518
2020-04-09 22:55:01,87559
2020-04-09 23:55:02,89521
2020-04-10 00:55:02,111981
2020-04-10 01:55:01,137761
2020-04-10 02:55:01,129880
2020-04-10 03:55:01,142408
2020-04-10 04:55:01,177481
2020-04-10 05:55:01,164102
2020-04-10 06:55:01,224803
2020-04-10 07:55:01,137238
2020-04-10 08:55:01,116000
2020-04-10 09:55:01,108052
2020-04-10 10:55:01,151042
2020-04-10 11:55:01,152837
2020-04-10 12:55:01,141417
2020-04-10 13:55:02,204706
2020-04-10 14:55:01,131601
2020-04-10 15:55:01,216464
2020-04-10 16:55:01,160950
2020-04-10 17:55:01,176113
2020-04-10 18:55:01,130614
2020-04-10 19:55:01,103067
2020-04-10 20:55:01,108928
2020-04-10 21:55:01,80302
2020-04-10 22:55:02,90861
2020-04-10 23:55:02,97465
2020-04-11 00:55:01,137165
2020-04-11 01:55:01,112399
2020-04-11 02:55:02,107087
2020-04-11 03:55:01,80843
2020-04-11 04:55:01,96142
2020-04-11 05:55:01,233095
2020-04-11 06:55:01,104831
2020-04-11 07:55:01,95774
2020-04-11 08:55:01,137390
2020-04-11 09:55:01,95227
2020-04-11 10:55:01,66338
2020-04-11 11:55:01,204705
2020-04-11 12:55:02,185729
2020-04-11 13:55:01,154259
2020-04-11 14:55:01,184294
2020-04-11 15:55:01,165573
2020-04-11 16:55:01,237064
2020-04-11 17:55:01,199506
2020-04-11 18:55:01,98839
2020-04-11 19:55:01,109647
2020-04-11 20:55:01,115188
2020-04-11 21:55:01,111032
2020-04-11 22:55:02,106938
2020-04-11 23:55:01,68955
2020-04-12 00:55:01,92263
2020-04-12 01:55:01,124226
2020-04-12 02:55:01,133384
2020-04-12 03:55:01,109971
2020-04-12 04:55:01,110608
2020-04-12 05:55:01,171697
2020-04-12 06:55:02,154337
2020-04-12 07:55:02,81797
2020-04-12 08:55:01,123463
2020-04-12 09:55:01,94024
2020-04-12 10:55:02,94469
2020-04-12 11:55:01,127269
2020-04-12 12:55:01,191245
2020-04-12 13:55:01,122262
2020-04-12 14:55:01,148813
2020-04-12 15:55:01,300904
2020-04-12 16:55:02,180003
2020-04-12 17:55:01,170810
2020-04-12 18:55:02,142040
2020-04-12 19:55:02,125426
2020-04-12 20:55:01,89566
2020-04-12 21:55:01,76030
2020-04-12 22:55:02,117744
2020-04-12 23:55:01,86304
2020-04-13 00:55:01,91399
2020-04-13 01:55:01,141655
2020-04-13 02:55:01,110518
2020-04-13 03:55:02,137095
2020-04-13 04:55:01,120134
2020-04-13 05:55:02,148464
2020-04-13 06:55:02,134375
2020-04-13 07:55:01,145247
2020-04-13 08:55:01,130167
2020-04-13 09:55:01,85776
2020-04-13 10:55:01,164927
2020-04-13 11:55:01,149094
2020-04-13 12:55:01,157268
2020-04-13 13:55:01,181576
2020-04-13 14:55:01,135526
2020-04-13 15:55:01,189174
2020-04-13 16:55:01,91403
2020-04-13 17:55:01,156422
2020-04-13 18:55:01,203091
2020-04-13 19:55:01,116079
2020-04-13 20:55:02,90985
2020-04-13 21:55:01,116187
2020-04-13 22:55:01,100576
2020-04-13 23:55:01,105326
2020-04-14 00:55:01,107537
2020-04-14 01:55:02,76120
2020-04-14 02:55:02,120720
2020-04-14 03:55:02,93392
2020-04-14 04:55:02,36893
2020-04-14 05:55:01,52673
2020-04-14 06:55:01,315542
2020-04-14 07:55:01,164681
2020-04-14 08:55:01,174856
2020-04-14 09:55:01,132595
2020-04-14 10:55:01,120994
2020-04-14 11:55:01,191218
2020-04-14 12:55:01,117366
2020-04-14 13:55:01,225480
2020-04-14 14:55:01,152552
2020-04-14 15:55:01,214779
2020-04-14 16:55:01,170075
2020-04-14 17:55:01,184508
2020-04-14 18:55:01,145591
2020-04-14 19:55:01,99597
2020-04-14 20:55:01,119475
2020-04-14 21:55:01,128325
2020-04-14 22:55:01,153387
2020-04-14 23:55:01,83359
2020-04-15 00:55:01,99246
2020-04-15 01:55:01,110822
2020-04-15 02:55:01,146884
2020-04-15 03:55:01,122040
2020-04-15 04:55:01,137117
2020-04-15 05:55:01,155414
2020-04-15 06:55:01,171050
2020-04-15 07:55:01,109447
2020-04-15 08:55:01,132672
2020-04-15 09:55:02,103353
2020-04-15 10:55:01,65363
2020-04-15 11:55:02,132690
2020-04-15 12:55:02,202588
2020-04-15 13:55:02,186306
2020-04-15 14:55:01,173460
2020-04-15 15:55:01,202208
2020-04-15 16:55:01,169567
2020-04-15 17:55:02,152688
2020-04-15 18:55:01,158411
2020-04-15 19:55:01,77979
2020-04-15 20:55:01,116012
2020-04-15 21:55:01,133961
2020-04-15 22:55:01,97590
2020-04-15 23:55:01,104061
2020-04-16 00:55:01,148265
2020-04-16 01:55:01,118556
2020-04-16 02:55:01,113262
2020-04-16 03:55:01,113988
2020-04-16 04:55:01,102432
2020-04-16 05:55:01,64733
2020-04-16 06:55:01,119214
2020-04-16 07:55:01,237267
2020-04-16 08:55:01,111281
2020-04-16 09:55:01,136747
2020-04-16 10:55:01,131616
2020-04-16 11:55:01,159024
2020-04-16 12:55:01,141031
2020-04-16 13:55:01,167929
2020-04-16 14:55:01,192461
2020-04-16 15:55:01,126385
2020-04-16 16:55:01,165517
2020-04-16 17:55:01,201547
2020-04-16 18:55:01,136218
2020-04-16 19:55:01,113527
2020-04-16 20:55:01,110529
2020-04-16 21:55:01,112673
2020-04-16 22:55:01,89196
2020-04-16 23:55:01,89743
2020-04-17 00:55:01,118763
2020-04-17 01:55:01,87442
2020-04-17 02:55:02,97309
2020-04-17 03:55:01,104957
2020-04-17 04:55:01,84625
2020-04-17 05:55:02,169026
2020-04-17 06:55:01,138051
2020-04-17 07:55:01,114016
2020-04-17 08:55:01,106855
2020-04-17 09:55:01,85691
2020-04-17 10:55:02,33520
2020-04-17 11:55:01,103413
2020-04-17 12:55:01,50054
2020-04-17 13:55:02,182080
2020-04-17 14:55:01,50313
2020-04-17 15:55:01,255584
2020-04-17 16:55:01,272379
2020-04-17 17:55:02,223174
2020-04-17 18:55:02,189624
2020-04-17 19:55:01,79583
2020-04-17 20:55:01,118195
2020-04-17 21:55:01,103978
2020-04-17 22:55:01,97241
2020-04-17 23:55:01,95452
2020-04-18 00:55:01,86933
2020-04-18 01:55:01,109844
2020-04-18 02:55:01,100711
2020-04-18 03:55:01,109370
2020-04-18 04:55:01,98117
2020-04-18 05:55:01,145764
2020-04-18 06:55:01,156343
2020-04-18 07:55:01,100632
2020-04-18 08:55:01,107285
2020-04-18 09:55:01,95811
2020-04-18 10:55:01,128120
2020-04-18 11:55:01,123226
2020-04-18 12:55:01,105267
2020-04-18 13:55:01,164664
2020-04-18 14:55:01,117567
2020-04-18 15:55:02,128061
2020-04-18 16:55:01,187970
2020-04-18 17:55:01,232551
2020-04-18 18:55:01,156389
2020-04-18 19:55:01,139414
2020-04-18 20:55:01,103783
2020-04-18 21:55:01,97330
2020-04-18 22:55:01,111335
2020-04-18 23:55:01,92992
2020-04-19 00:55:01,126296
2020-04-19 01:55:01,91667
2020-04-19 02:55:01,124516
2020-04-19 03:55:01,114986
2020-04-19 04:55:01,72025
2020-04-19 05:55:01,145368
2020-04-19 06:55:01,141950
2020-04-19 07:55:01,74962
2020-04-19 08:55:01,68444
2020-04-19 09:55:01,93221
2020-04-19 10:55:01,152228
2020-04-19 11:55:01,93941
2020-04-19 12:55:01,80497
2020-04-19 13:55:01,88811
2020-04-19 14:55:01,138674
2020-04-19 15:55:01,120754
2020-04-19 16:55:01,142793
2020-04-19 17:55:01,138448
2020-04-19 18:55:02,141898
2020-04-19 19:55:01,104560
2020-04-19 20:55:02,93988
2020-04-19 21:55:01,98596
2020-04-19 22:55:01,85838
2020-04-19 23:55:01,87968
2020-04-20 00:55:01,107442
2020-04-20 01:55:01,75337
2020-04-20 02:55:01,131529
2020-04-20 03:55:01,58547
2020-04-20 04:55:01,96969
2020-04-20 05:55:02,136331
2020-04-20 06:55:02,109863
2020-04-20 07:55:01,88378
2020-04-20 08:55:01,74414
2020-04-20 09:55:01,117109
2020-04-20 10:55:01,105769
2020-04-20 11:55:01,266608
2020-04-20 12:55:01,117631
2020-04-20 13:55:01,152807
2020-04-20 14:55:01,158938
2020-04-20 15:55:01,130740
2020-04-20 16:55:01,116680
2020-04-20 17:55:01,170596
2020-04-20 18:55:01,123662
2020-04-20 19:55:01,109667
2020-04-20 20:55:01,80023
2020-04-20 21:55:01,82304
2020-04-20 22:55:02,85947
2020-04-20 23:55:01,61161
2020-04-21 00:55:01,90899
2020-04-21 01:55:01,95042
2020-04-21 02:55:01,104243
2020-04-21 03:55:01,120865
2020-04-21 04:55:01,103579
2020-04-21 05:55:01,127989
2020-04-21 06:55:01,119266
2020-04-21 07:55:02,99021
2020-04-21 08:55:01,95596
2020-04-21 09:55:01,69848
2020-04-21 10:55:01,212198
2020-04-21 11:55:02,130829
2020-04-21 12:55:02,114470
2020-04-21 13:55:01,136618
2020-04-21 14:55:01,108911
2020-04-21 15:55:01,138210
2020-04-21 16:55:01,149521
2020-04-21 17:55:01,174095
2020-04-21 18:55:01,132475
2020-04-21 19:55:02,100704
2020-04-21 20:55:01,95228
2020-04-21 21:55:02,70257
2020-04-21 22:55:01,69296
2020-04-21 23:55:01,90658
2020-04-22 00:55:01,98567
2020-04-22 01:55:01,92922
2020-04-22 02:55:01,108908
2020-04-22 03:55:02,107319
2020-04-22 04:55:01,99179
2020-04-22 05:55:01,115786
2020-04-22 06:55:01,136840
2020-04-22 07:55:02,55978
2020-04-22 08:55:02,102511
2020-04-22 09:55:01,94336
2020-04-22 10:55:02,189105
2020-04-22 11:55:01,91160
2020-04-22 12:55:01,128584
2020-04-22 13:55:01,122087
2020-04-22 14:55:01,131324
2020-04-22 15:55:01,133143
2020-04-22 16:55:01,144819
2020-04-22 17:55:01,176213
2020-04-22 18:55:01,149667
2020-04-22 19:55:01,120736
2020-04-22 20:55:01,99260
2020-04-22 21:55:02,75562
2020-04-22 22:55:02,85371
2020-04-22 23:55:01,91006
2020-04-23 00:55:01,87792
2020-04-23 01:55:01,108613
2020-04-23 02:55:01,80814
2020-04-23 03:55:01,83737
2020-04-23 04:55:01,72576
2020-04-23 05:55:01,201038
2020-04-23 06:55:01,117192
2020-04-23 07:55:02,72241
2020-04-23 08:55:01,109799
2020-04-23 09:55:02,104009
2020-04-23 10:55:01,98574
2020-04-23 11:55:01,133231
2020-04-23 12:55:02,211661
2020-04-23 13:55:01,133258
2020-04-23 14:55:01,172618
2020-04-23 15:55:02,166825
2020-04-23 16:55:01,134831
2020-04-23 17:55:01,121279
2020-04-23 18:55:01,163064
2020-04-23 19:55:01,121671
2020-04-23 20:55:02,90129
2020-04-23 21:55:01,64255
2020-04-23 22:55:01,95094
2020-04-23 23:55:01,99954
2020-04-24 00:55:01,102652
2020-04-24 01:55:02,86763
2020-04-24 02:55:01,115816
2020-04-24 03:55:01,95103
2020-04-24 04:55:01,71855
2020-04-24 05:55:01,160636
2020-04-24 06:55:01,125230
2020-04-24 07:55:01,128455
2020-04-24 08:55:01,76590
2020-04-24 09:55:02,138766
2020-04-24 10:55:01,132484
2020-04-24 11:55:02,158294
2020-04-24 12:55:01,100813
2020-04-24 13:55:01,143852
2020-04-24 14:55:02,192473
2020-04-24 15:55:01,120926
2020-04-24 16:55:01,145336
2020-04-24 17:55:01,164560
2020-04-24 18:55:01,132097
2020-04-24 19:55:01,96479
2020-04-24 20:55:02,88237
2020-04-24 21:55:01,96728
2020-04-24 22:55:01,94821
2020-04-24 23:55:01,88570
2020-04-25 00:55:01,103515
2020-04-25 01:55:01,94609
2020-04-25 02:55:01,149993
2020-04-25 03:55:01,59350
2020-04-25 04:55:02,23205
2020-04-25 05:55:01,44402
2020-04-25 06:55:01,114397
2020-04-25 07:55:01,2033
2020-04-25 08:55:01,346218
2020-04-25 09:55:01,118813
2020-04-25 10:55:01,182473
2020-04-25 11:55:01,95819
2020-04-25 12:55:01,173256
2020-04-25 13:55:01,119244
2020-04-25 14:55:02,173014
2020-04-25 15:55:02,145440
2020-04-25 16:55:01,153778
2020-04-25 17:55:01,128440
2020-04-25 18:55:01,117343
2020-04-25 19:55:01,93111
2020-04-25 20:55:01,93646
2020-04-25 21:55:01,72850
2020-04-25 22:55:01,89139
2020-04-25 23:55:01,88482
2020-04-26 00:55:01,97728
2020-04-26 01:55:01,94323
2020-04-26 02:55:01,120593
2020-04-26 03:55:01,71014
2020-04-26 04:55:01,62877
2020-04-26 05:55:02,139444
2020-04-26 06:55:02,126170
2020-04-26 07:55:01,107476
2020-04-26 08:55:02,87266
2020-04-26 09:55:01,123873
2020-04-26 10:55:02,98474
2020-04-26 11:55:02,138091
2020-04-26 12:55:01,113597
2020-04-26 13:55:01,166854
2020-04-26 14:55:01,145703
2020-04-26 15:55:01,158899
2020-04-26 16:55:01,133419
2020-04-26 17:55:01,111812
2020-04-26 18:55:01,113751
2020-04-26 19:55:01,104145
2020-04-26 20:55:01,85742
2020-04-26 21:55:01,78144
2020-04-26 22:55:01,85601
2020-04-26 23:55:01,71014
2020-04-27 00:55:02,80942
2020-04-27 01:55:01,91461
2020-04-27 02:55:01,98799
2020-04-27 03:55:01,108267
2020-04-27 04:55:01,86323
2020-04-27 05:55:01,132336
2020-04-27 06:55:01,131588
2020-04-27 07:55:01,99567
2020-04-27 08:55:01,96788
2020-04-27 09:55:02,104029
2020-04-27 10:55:02,102751
2020-04-27 11:55:02,120381
2020-04-27 12:55:01,134869
2020-04-27 13:55:01,114659
2020-04-27 14:55:01,121198
2020-04-27 15:55:01,149521
2020-04-27 16:55:01,140093
2020-04-27 17:55:02,117333
2020-04-27 18:55:01,137428
2020-04-27 19:55:02,103737
2020-04-27 20:55:02,99665
2020-04-27 21:55:01,90423
2020-04-27 22:55:01,82021
2020-04-27 23:55:01,94323
2020-04-28 00:55:02,106340
2020-04-28 01:55:02,99207
2020-04-28 02:55:01,106113
2020-04-28 03:55:02,114722
2020-04-28 04:55:01,79118
2020-04-28 05:55:01,143066
2020-04-28 06:55:01,113114
2020-04-28 07:55:01,101604
2020-04-28 08:55:01,104397
2020-04-28 09:55:01,142167
2020-04-28 10:55:01,96651
2020-04-28 11:55:01,164026
2020-04-28 12:55:01,104615
2020-04-28 13:55:01,197252
2020-04-28 14:55:01,146656
2020-04-28 15:55:01,146866
2020-04-28 16:55:02,167921
2020-04-28 17:55:01,146740
2020-04-28 18:55:01,134803
2020-04-28 19:55:01,109806
2020-04-28 20:55:01,105044
2020-04-28 21:55:02,88376
2020-04-28 22:55:01,84430
2020-04-28 23:55:01,95738
2020-04-29 00:55:01,113622
2020-04-29 01:55:01,109532
2020-04-29 02:55:01,77678
2020-04-29 03:55:01,96711
2020-04-29 04:55:01,113243
2020-04-29 05:55:01,203027
2020-04-29 06:55:01,131108
2020-04-29 07:55:01,92160
2020-04-29 08:55:01,76696
2020-04-29 09:55:01,96324
2020-04-29 10:55:01,138186
2020-04-29 11:55:01,142415
2020-04-29 12:55:01,132665
2020-04-29 13:55:01,146012
2020-04-29 14:55:02,184292
2020-04-29 15:55:01,176832
2020-04-29 16:55:01,170932
2020-04-29 17:55:01,181136
2020-04-29 18:55:01,151949
2020-04-29 19:55:01,129421
2020-04-29 20:55:01,112524
2020-04-29 21:55:01,103619
2020-04-29 22:55:01,104836
2020-04-29 23:55:01,121541
2020-04-30 00:55:01,113199
2020-04-30 01:55:01,115060
2020-04-30 02:55:01,109137
2020-04-30 03:55:01,79813
2020-04-30 04:55:02,89862
2020-04-30 05:55:01,210851
2020-04-30 06:55:01,167016
2020-04-30 07:55:01,113040
2020-04-30 08:55:01,101515
2020-04-30 09:55:01,121687
2020-04-30 10:55:01,156387
2020-04-30 11:55:02,105180
2020-04-30 12:55:01,186583
2020-04-30 13:55:01,127619
2020-04-30 14:55:01,154056
2020-04-30 15:55:01,175655
2020-04-30 16:55:01,116033
2020-04-30 17:55:01,198756
2020-04-30 18:55:01,156756
2020-04-30 19:55:02,104336
2020-04-30 20:55:01,112215
2020-04-30 21:55:01,91782
2020-04-30 22:55:01,99507
2020-04-30 23:55:01,104483
2020-05-01 00:55:01,78792
2020-05-01 01:55:01,96044
2020-05-01 02:55:01,142768
2020-05-01 03:55:01,92476
2020-05-01 04:55:01,102284
2020-05-01 07:55:01,138147
2020-05-01 08:55:01,115197
2020-05-01 09:55:01,121738
2020-05-01 10:55:01,110566
2020-05-01 11:55:01,205654
2020-05-01 12:55:01,116156
2020-05-01 13:55:01,170433
2020-05-01 14:55:01,169099
2020-05-01 15:55:02,235633
2020-05-01 16:55:01,117102
2020-05-01 17:55:02,116908
2020-05-01 18:55:02,204403
2020-05-01 19:55:01,110300
2020-05-01 20:55:01,122841
2020-05-01 21:55:01,100618
2020-05-01 22:55:01,87083
2020-05-01 23:55:01,96417
2020-05-02 00:55:01,102998
2020-05-02 01:55:02,114550
2020-05-02 02:55:01,149942
2020-05-02 03:55:01,145349
2020-05-02 04:55:02,143346
2020-05-02 05:55:01,157909
2020-05-02 06:55:01,151255
2020-05-02 07:55:01,145780
2020-05-02 08:55:01,113029
2020-05-02 09:55:01,156156
2020-05-02 10:55:02,98272
2020-05-02 11:55:01,208449
2020-05-02 12:55:01,166474
2020-05-02 13:55:01,163757
2020-05-02 14:55:01,173591
2020-05-02 15:55:01,248519
2020-05-02 16:55:01,121969
2020-05-02 17:55:01,173697
2020-05-02 18:55:01,161930
2020-05-02 19:55:01,127857
2020-05-02 20:55:01,117070
2020-05-02 21:55:01,100519
2020-05-02 22:55:01,111989
2020-05-02 23:55:02,101343
2020-05-03 00:55:01,103339
2020-05-03 01:55:01,92239
2020-05-03 02:55:01,107975
2020-05-03 03:55:02,151001
2020-05-03 04:55:01,138998
2020-05-03 05:55:01,160700
2020-05-03 06:55:01,159399
2020-05-03 07:55:02,111395
2020-05-03 10:55:01,145269
2020-05-03 11:55:01,173382
2020-05-03 12:55:01,145942
2020-05-03 13:55:01,117472
2020-05-03 14:55:01,183352
2020-05-03 15:55:02,224630
2020-05-03 16:55:01,169003
2020-05-03 17:55:02,168452
2020-05-03 18:55:01,158417
2020-05-03 19:55:01,127361
2020-05-03 20:55:01,102961
2020-05-03 21:55:01,104277
2020-05-03 22:55:02,113679
2020-05-03 23:55:01,120292
2020-05-04 02:55:01,118262
2020-05-04 03:55:01,123531
2020-05-04 04:55:01,121990
2020-05-04 05:55:01,156847
2020-05-04 06:55:01,152232
2020-05-04 07:55:01,126006
2020-05-04 08:55:01,126586
2020-05-04 09:55:01,151531
2020-05-04 10:55:01,159607
2020-05-04 11:55:02,129315
2020-05-04 12:55:01,159756
2020-05-04 13:55:01,119032
2020-05-04 14:55:01,269321
2020-05-04 15:55:01,163494
2020-05-04 16:55:01,179935
2020-05-04 17:55:01,153653
2020-05-04 18:55:01,152471
2020-05-04 19:55:01,116788
2020-05-04 20:55:01,111149
2020-05-04 21:55:01,129965
2020-05-04 22:55:01,87655
2020-05-04 23:55:01,99175
2020-05-05 00:55:02,110368
2020-05-05 01:55:01,103534
2020-05-05 02:55:01,125713
2020-05-05 03:55:01,87155
2020-05-05 04:55:01,78398
2020-05-05 05:55:01,103841
2020-05-05 06:55:01,215897
2020-05-05 07:55:01,112933
2020-05-05 08:55:01,128928
2020-05-05 09:55:01,101776
2020-05-05 10:55:01,193674
2020-05-05 11:55:01,152336
2020-05-05 12:55:01,181924
2020-05-05 13:55:01,190883
2020-05-05 14:55:01,163412
2020-05-05 15:55:01,177167
2020-05-05 16:55:01,204591
2020-05-05 17:55:01,175833
2020-05-05 18:55:02,135809
2020-05-05 19:55:01,182308
2020-05-05 20:55:01,109735
2020-05-05 21:55:01,110698
2020-05-05 22:55:02,107921
2020-05-05 23:55:01,100096
2020-05-06 00:55:01,97875
2020-05-06 01:55:01,135541
2020-05-06 02:55:01,103762
2020-05-06 03:55:01,103987
2020-05-06 04:55:02,60724
2020-05-06 05:55:01,88774
2020-05-06 06:55:01,228715
2020-05-06 07:55:01,107093
2020-05-06 08:55:01,163276
2020-05-06 09:55:01,130083
2020-05-06 10:55:01,136043
2020-05-06 11:55:02,160797
2020-05-06 12:55:01,211829
2020-05-06 13:55:01,186339
2020-05-06 14:55:02,230284
2020-05-06 15:55:01,169963
2020-05-06 16:55:01,160715
2020-05-06 17:55:01,159608
2020-05-06 18:55:01,191649
2020-05-06 19:55:02,126686
2020-05-06 20:55:01,137720
