time,All,JP,US,SP,PH
2020-03-31 08:00:54,399868,66990,245362,55379,32137
2020-03-31 09:00:54,266750,63749,140613,41860,20528
2020-03-31 10:00:59,385022,56889,247192,41501,39440
2020-03-31 11:00:57,637738,132103,388354,56146,61135
2020-03-31 12:00:57,352207,71891,217788,32890,29638
2020-03-31 13:00:56,274726,47264,180503,18472,28487
2020-03-31 14:00:55,244262,64677,125111,33786,20688
2020-03-31 15:01:00,842380,346265,160271,314815,21029
2020-03-31 16:01:02,352946,59445,229115,32448,31938
2020-03-31 17:00:58,326254,79370,169275,46271,31338
2020-03-31 18:01:03,446250,64741,276141,62363,43005
2020-03-31 19:01:01,508525,78343,319914,80901,29367
2020-03-31 20:01:07,454773,57923,291687,72687,32476
2020-03-31 21:00:59,626373,93380,372619,131186,29188
2020-03-31 22:01:07,514076,44696,337952,104168,27260
2020-03-31 23:00:59,530582,41520,340126,122312,26624
2020-04-01 00:00:58,461111,34393,312710,96920,17088
2020-04-01 01:00:58,418620,31535,279272,93579,14234
2020-04-01 02:01:00,407221,22741,276442,92074,15964
2020-04-01 03:00:54,384917,72911,191406,107634,12966
2020-04-01 04:00:59,355783,44305,218356,75276,17846
2020-04-01 05:00:59,386701,60050,228721,76107,21823
2020-04-01 06:00:59,309587,48749,183902,52722,24214
2020-04-01 07:01:18,395305,60038,242350,61249,31668
2020-04-01 08:01:07,345440,56250,206153,47040,35997
2020-04-01 09:00:57,392979,100121,181135,78090,33633
2020-04-01 10:00:59,321292,64023,197778,29694,29797
2020-04-01 11:01:15,589338,107838,359527,61543,60430
2020-04-01 12:01:03,359042,78901,209950,32531,37660
2020-04-01 13:01:01,248775,53673,145883,22307,26912
2020-04-01 14:01:01,208354,42781,125938,16378,23257
2020-04-01 15:00:59,226985,57410,110770,28401,30404
2020-04-01 16:00:59,872300,362264,145220,341888,22928
2020-04-01 17:01:02,429070,78759,254881,58483,36947
2020-04-01 18:01:03,258545,57034,152786,26918,21807
2020-04-01 19:00:59,471312,55401,313085,62141,40685
2020-04-01 20:01:07,346674,44387,225724,50550,26013
2020-04-01 21:00:56,583810,104913,301850,146201,30846
2020-04-01 22:00:54,562159,46659,384679,95459,35362
2020-04-01 23:00:57,595504,79191,334824,152609,28880
2020-04-02 00:01:01,1877,0,0,1877,0
2020-04-02 01:01:00,39,0,0,0,39
2020-04-02 03:06:06,1784600,188649,1099129,422227,74595
2020-04-02 04:00:01,353320,46738,205955,82669,17958
2020-04-02 05:00:01,316413,53902,186292,57720,18499
2020-04-02 06:00:02,349951,60909,192016,69421,27605
2020-04-02 07:00:01,402672,66875,239535,56069,40193
2020-04-02 07:00:59,0,0,0,0,0
2020-04-02 08:00:02,341838,69776,176472,60726,34864
2020-04-02 09:00:01,0,0,0,0,0
2020-04-02 10:00:01,655468,123933,371726,75801,84008
