time,count
2020-03-31 16:00:54,399868
2020-03-31 17:00:54,266750
2020-03-31 18:00:59,385022
2020-03-31 19:00:57,637738
2020-03-31 20:00:57,352207
2020-03-31 21:00:56,274726
2020-03-31 22:00:55,244262
2020-03-31 23:01:00,842380
2020-04-01 00:01:02,352946
2020-04-01 01:00:58,326254
2020-04-01 02:01:03,446250
2020-04-01 03:01:01,508525
2020-04-01 04:01:07,454773
2020-04-01 05:00:59,626373
2020-04-01 06:01:07,514076
2020-04-01 07:00:59,530582
2020-04-01 08:00:58,461111
2020-04-01 09:00:58,418620
2020-04-01 10:01:00,407221
2020-04-01 11:00:54,384917
2020-04-01 12:00:59,355783
2020-04-01 13:00:59,386701
2020-04-01 14:00:59,309587
2020-04-01 15:01:18,395305
2020-04-01 16:01:07,345440
2020-04-01 17:00:57,392979
2020-04-01 18:00:59,321292
2020-04-01 19:01:15,589338
2020-04-01 20:01:03,359042
2020-04-01 21:01:01,248775
2020-04-01 22:01:01,208354
2020-04-01 23:00:59,226985
2020-04-02 00:00:59,872300
2020-04-02 01:01:02,429070
2020-04-02 02:01:03,258545
2020-04-02 03:00:59,471312
2020-04-02 04:01:07,346674
2020-04-02 05:00:56,583810
2020-04-02 06:00:54,562159
2020-04-02 07:00:57,595504
2020-04-02 08:01:01,1877
2020-04-02 09:01:00,39
2020-04-02 11:06:06,1784600
2020-04-02 12:00:01,353320
2020-04-02 13:00:01,316413
2020-04-02 14:00:02,349951
2020-04-02 15:00:01,402672
2020-04-02 15:00:59,0
2020-04-02 16:00:02,341838
2020-04-02 17:00:01,0
2020-04-02 18:00:01,655468
2020-04-02 23:01:09,2416
2020-04-03 00:01:01,1829
2020-04-03 01:01:00,937
2020-04-03 02:01:01,3277
2020-04-03 03:00:59,0
2020-04-03 04:01:19,552
2020-04-03 05:01:03,-5869133343
2020-04-03 06:01:01,0
