time,count
2020-03-31 14:00:53,48829
2020-03-31 15:00:54,55379
2020-03-31 16:00:54,41860
2020-03-31 17:00:59,41501
2020-03-31 18:00:57,56146
2020-03-31 19:00:57,32890
2020-03-31 20:00:56,18472
2020-03-31 21:00:55,33786
2020-03-31 22:01:00,314815
2020-03-31 23:01:02,32448
2020-04-01 00:00:58,46271
2020-04-01 01:01:03,62363
2020-04-01 02:01:01,80901
2020-04-01 03:01:07,72687
2020-04-01 04:00:59,131186
2020-04-01 05:01:07,104168
2020-04-01 06:00:59,122312
2020-04-01 07:00:58,96920
2020-04-01 08:00:58,93579
2020-04-01 09:01:00,92074
2020-04-01 10:00:54,107634
2020-04-01 11:00:59,75276
2020-04-01 12:00:59,76107
2020-04-01 13:00:59,52722
2020-04-01 14:01:18,61249
2020-04-01 15:01:07,47040
2020-04-01 16:00:57,78090
2020-04-01 17:00:59,29694
2020-04-01 18:01:15,61543
2020-04-01 19:01:03,32531
2020-04-01 20:01:01,22307
2020-04-01 21:01:01,16378
2020-04-01 22:00:59,28401
2020-04-01 23:00:59,341888
2020-04-02 00:01:02,58483
2020-04-02 01:01:03,26918
2020-04-02 02:00:59,62141
2020-04-02 03:01:07,50550
2020-04-02 04:00:56,146201
2020-04-02 05:00:54,95459
2020-04-02 06:00:57,152609
2020-04-02 07:01:01,1877
2020-04-02 07:34:54,175483
2020-04-02 08:01:00,0
2020-04-02 10:06:06,246744
2020-04-02 11:00:01,82669
2020-04-02 12:00:01,57720
2020-04-02 13:00:02,69421
2020-04-02 14:00:01,56069
2020-04-02 14:00:59,0
2020-04-02 15:00:02,60726
2020-04-02 16:00:01,0
2020-04-02 17:00:01,75801
2020-04-02 18:00:01,31821
2020-04-02 19:00:01,15249
