time,count
2020-03-31 03:00:54,66990
2020-03-31 04:00:54,63749
2020-03-31 05:00:59,56889
2020-03-31 06:00:57,132103
2020-03-31 07:00:57,71891
2020-03-31 08:00:56,47264
2020-03-31 09:00:55,64677
2020-03-31 10:01:00,346265
2020-03-31 11:01:02,59445
2020-03-31 12:00:58,79370
2020-03-31 13:01:03,64741
2020-03-31 14:01:01,78343
2020-03-31 15:01:07,57923
2020-03-31 16:00:59,93380
2020-03-31 17:01:07,44696
2020-03-31 18:00:59,41520
2020-03-31 19:00:58,34393
2020-03-31 20:00:58,31535
2020-03-31 21:01:00,22741
2020-03-31 22:00:54,72911
2020-03-31 23:00:59,44305
2020-04-01 00:00:59,60050
2020-04-01 01:00:59,48749
2020-04-01 02:01:18,60038
2020-04-01 03:01:07,56250
2020-04-01 04:00:57,100121
2020-04-01 05:00:59,64023
2020-04-01 06:01:15,107838
2020-04-01 07:01:03,78901
2020-04-01 08:01:01,53673
2020-04-01 09:01:01,42781
2020-04-01 10:00:59,57410
2020-04-01 11:00:59,362264
2020-04-01 12:01:02,78759
2020-04-01 13:01:03,57034
2020-04-01 14:00:59,55401
2020-04-01 15:01:07,44387
2020-04-01 16:00:56,104913
2020-04-01 17:00:54,46659
2020-04-01 18:00:57,79191
2020-04-01 19:01:01,0
2020-04-01 20:01:00,0
2020-04-01 22:06:06,188649
2020-04-01 23:00:01,46738
2020-04-02 00:00:01,53902
2020-04-02 01:00:02,60909
2020-04-02 02:00:01,66875
2020-04-02 02:00:59,0
2020-04-02 03:00:02,69776
2020-04-02 04:00:01,0
2020-04-02 05:00:01,123933
2020-04-02 06:00:01,72020
2020-04-02 07:00:01,49791
2020-04-02 08:00:02,29714
2020-04-02 09:00:01,0
2020-04-02 10:00:02,445526
2020-04-02 11:00:02,49858
2020-04-02 12:00:02,50453
2020-04-02 13:00:02,60857
2020-04-02 14:00:02,105000
2020-04-02 15:00:02,59681
